Date,Sample.ID,Chamber.ID,Type,Treatment,Temperature,pH,Run,Volume,Org.Number,Notes
20220713,Mcap1,A1,Sample,Control,27,7.95,1,0.00008,6,"the measuring temp in the file is set as 28, but it is actually 27"
20220713,Mcap2,B1,Sample,Control,27,7.95,1,0.00008,6,"the measuring temp in the file is set as 28, but it is actually 27"
20220713,Mcap3,C1,Blank,Control,27,7.95,1,0.00008,NA,"the measuring temp in the file is set as 28, but it is actually 27"
20220713,Mcap4,D1,NA,Control,27,7.95,1,0.00008,NA,"the measuring temp in the file is set as 28, but it is actually 27"
20220713,Mcap5,A2,Sample,Control,27,7.95,1,0.00008,6,"the measuring temp in the file is set as 28, but it is actually 27"
20220713,Mcap6,B2,Sample,Control,27,7.95,1,0.00008,6,"the measuring temp in the file is set as 28, but it is actually 27"
20220713,Mcap7,C2,Sample,Control,27,7.95,1,0.00008,6,"the measuring temp in the file is set as 28, but it is actually 27"
20220713,Mcap8,D2,NA,Control,27,7.95,1,0.00008,NA,"the measuring temp in the file is set as 28, but it is actually 27"
20220713,Mcap9,A3,Blank,Control,27,7.95,1,0.00008,NA,"the measuring temp in the file is set as 28, but it is actually 27"
20220713,Mcap10,B3,Sample,Control,27,7.95,1,0.00008,6,"the measuring temp in the file is set as 28, but it is actually 27"
20220713,Mcap11,C3,Blank,Control,27,7.95,1,0.00008,NA,"the measuring temp in the file is set as 28, but it is actually 27"
20220713,Mcap12,D3,NA,Control,27,7.95,1,0.00008,NA,"the measuring temp in the file is set as 28, but it is actually 27"
20220713,Mcap13,A4,Sample,Control,27,7.95,1,0.00008,6,"the measuring temp in the file is set as 28, but it is actually 27"
20220713,Mcap14,B4,Sample,Control,27,7.95,1,0.00008,6,"the measuring temp in the file is set as 28, but it is actually 27"
20220713,Mcap15,C4,Sample,Control,27,7.95,1,0.00008,6,"the measuring temp in the file is set as 28, but it is actually 27"
20220713,Mcap16,D4,NA,Control,27,7.95,1,0.00008,NA,"the measuring temp in the file is set as 28, but it is actually 27"
20220713,Mcap17,A5,Blank,Control,27,7.95,1,0.00008,NA,"the measuring temp in the file is set as 28, but it is actually 27"
20220713,Mcap18,B5,Blank,Control,27,7.95,1,0.00008,NA,"the measuring temp in the file is set as 28, but it is actually 27"
20220713,Mcap19,C5,Sample,Control,27,7.95,1,0.00008,6,"the measuring temp in the file is set as 28, but it is actually 27"
20220713,Mcap20,D5,NA,Control,27,7.95,1,0.00008,NA,"the measuring temp in the file is set as 28, but it is actually 27"
20220713,Mcap21,A6,NA,Control,27,7.95,1,0.00008,NA,"the measuring temp in the file is set as 28, but it is actually 27"
20220713,Mcap22,B6,NA,Control,27,7.95,1,0.00008,NA,"the measuring temp in the file is set as 28, but it is actually 27"
20220713,Mcap23,C6,Sample,Control,27,7.95,1,0.00008,6,"the measuring temp in the file is set as 28, but it is actually 27"
20220713,Mcap24,D6,NA,Control,27,7.95,1,0.00008,NA,"the measuring temp in the file is set as 28, but it is actually 27"
20220713,Mcap25,A1,Sample,Mid,28.5,7.8,2,0.00008,6,
20220713,Mcap26,B1,Sample,Mid,28.5,7.8,2,0.00008,6,
20220713,Mcap27,C1,Blank,Mid,28.5,7.8,2,0.00008,NA,
20220713,Mcap28,D1,NA,Mid,28.5,7.8,2,0.00008,NA,
20220713,Mcap29,A2,Sample,Mid,28.5,7.8,2,0.00008,6,
20220713,Mcap30,B2,Sample,Mid,28.5,7.8,2,0.00008,6,
20220713,Mcap31,C2,Sample,Mid,28.5,7.8,2,0.00008,6,
20220713,Mcap32,D2,NA,Mid,28.5,7.8,2,0.00008,NA,
20220713,Mcap33,A3,Blank,Mid,28.5,7.8,2,0.00008,NA,
20220713,Mcap34,B3,Sample,Mid,28.5,7.8,2,0.00008,6,
20220713,Mcap35,C3,Blank,Mid,28.5,7.8,2,0.00008,NA,
20220713,Mcap36,D3,NA,Mid,28.5,7.8,2,0.00008,NA,
20220713,Mcap37,A4,Sample,Mid,28.5,7.8,2,0.00008,6,
20220713,Mcap38,B4,Sample,Mid,28.5,7.8,2,0.00008,6,
20220713,Mcap39,C4,Sample,Mid,28.5,7.8,2,0.00008,6,
20220713,Mcap40,D4,NA,Mid,28.5,7.8,2,0.00008,NA,
20220713,Mcap41,A5,Blank,Mid,28.5,7.8,2,0.00008,NA,
20220713,Mcap42,B5,Blank,Mid,28.5,7.8,2,0.00008,NA,
20220713,Mcap43,C5,Sample,Mid,28.5,7.8,2,0.00008,6,
20220713,Mcap44,D5,NA,Mid,28.5,7.8,2,0.00008,NA,
20220713,Mcap45,A6,NA,Mid,28.5,7.8,2,0.00008,NA,
20220713,Mcap46,B6,NA,Mid,28.5,7.8,2,0.00008,NA,
20220713,Mcap47,C6,Sample,Mid,28.5,7.8,2,0.00008,6,
20220713,Mcap48,D6,NA,Mid,28.5,7.8,2,0.00008,NA,
20220713,Mcap49,A1,Sample,High,30.5,7.65,3,0.00008,6,
20220713,Mcap50,B1,Sample,High,30.5,7.65,3,0.00008,6,
20220713,Mcap51,C1,Blank,High,30.5,7.65,3,0.00008,NA,
