Measurement Name :,1372022_Montip_Medium_RUN2_SDR641,,Generated On :,"13/07/2022, 13:13:31",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"13/07/2022, 12:12:36",,,,,,Batch No.:  ,PSt5-1624-01_25°C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"13/07/2022, 13:13:00",,,,,,O2_cal0 [°],54.76,,Adjustment at ,100, % air saturation,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,Adjustment at ,28, °C,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-641,,,,,,O2_T0 [°C],24.8,,Adjustment at ,965, mbar,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [[%] Air Saturation],,,,,,O2_T2nd [°C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPA Phase values  ,,45.93,45.48,46.09,45.54,45.75,45.39,46.36,45.7,47.22,45.78,45.44,45.63,45.08,46.93,44.78,46.02,45.39,46.11,46.18,45.41,45.71,45.56,45.38,44.83,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
13.07.22 12:12:38,0.03,104.29,95.23,91.32,87.31,97.16,87.73,123.92,106.17,125.15,89.29,71.81,106.55,93.35,103,89.69,102.17,100.59,72.98,116.14,94.34,109.85,93.2,83.55,89.89,,28.5,965,37,29.46,965D6-(E1);
13.07.22 12:12:53,0.28,87.79,72.44,104.79,91.23,98.8,84.17,103.42,84.9,96.51,76.23,67.35,105.15,74.91,135.72,83.76,96.1,81.15,85.25,101.63,87.59,102.4,83.42,121.03,93.99,,28.5,965,37,29.43,965D6-(E1);
13.07.22 12:13:08,0.53,136.95,100.05,127.5,114.53,128.64,116.75,121.56,122.8,110.95,115.71,90.27,116.66,107.33,130.59,97.9,119.36,116.32,93.53,130.26,108.91,120.3,90.56,118.73,100.18,,28.5,965,37,29.47,965D6-(E1);
13.07.22 12:13:23,0.78,77.72,94.43,87.6,70.21,82.22,83.04,82.38,87.65,89.11,81,77.08,80.62,69.86,82.75,67.88,81.62,72.9,90.19,88.6,78.25,66.18,85.22,106.55,67.53,,28.5,965,37,29.49,965D6-(E1);
13.07.22 12:13:38,1.03,108.45,91.93,88.7,93.34,96.33,88.76,108.05,110.99,105.85,86.24,65.09,114.21,90.19,115.46,78.2,97.08,87.61,83.49,104.1,92.24,89.49,74.34,69.91,93.36,,28.5,965,37,29.51,965D6-(E1);
13.07.22 12:13:53,1.28,103.01,91.54,100.33,97.75,91.33,70.36,107.15,88.97,110.79,75.6,68.67,101.14,84.95,123.02,72.3,99.62,80.4,86.62,107.03,88.48,95.94,77.96,89.41,83.45,,28.5,965,37,29.55,965D6-(E1);
13.07.22 12:14:08,1.53,104.29,82.9,107.55,101,92.13,90.7,110.92,105.46,129.83,102.97,71.44,111.2,93.99,115.62,89.32,101.46,91.74,89.5,109.1,83.13,82.67,79.98,112.23,83.09,,28.5,965,37,29.6,965D6-(E1);
