Measurement Name :,1372022_Montip_High_RUN3_SDR641,,Generated On :,"13/07/2022, 14:37:08",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"13/07/2022, 13:36:22",,,,,,Batch No.:  ,PSt5-1624-01_25°C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"13/07/2022, 14:36:37",,,,,,O2_cal0 [°],54.76,,Adjustment at ,100, % air saturation,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,Adjustment at ,28, °C,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-641,,,,,,O2_T0 [°C],24.8,,Adjustment at ,965, mbar,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [[%] Air Saturation],,,,,,O2_T2nd [°C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPA Phase values  ,,45.93,45.48,46.09,45.54,45.75,45.39,46.36,45.7,47.22,45.78,45.44,45.63,45.08,46.93,44.78,46.02,45.39,46.11,46.18,45.41,45.71,45.56,45.38,44.83,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
13.07.22 13:36:24,0.03,102.17,101.72,110.12,102,110.27,75.15,101.35,105.19,127.49,101.05,87.99,107.24,103.4,127.5,80.92,107.46,94.99,93.49,116,100.65,111.8,99.03,99.06,83.8,,30.5,965,37,28.89,965D6-(E1);
13.07.22 13:36:39,0.28,101.61,84.13,108.23,93.07,95.61,93.17,121.02,90.71,114.69,83.81,65.96,99.15,89.98,119.27,98.15,70.73,84.38,85.97,121.91,98.13,91.1,102,106.97,94.26,,30.5,965,37,28.86,965D6-(E1);
13.07.22 13:36:54,0.53,113.32,105.11,108.95,112.06,96.01,91.75,112.46,112.22,125.1,99.68,70.46,121.93,96.28,121.23,133.64,126.01,109.72,102.48,118.26,120.84,104.77,95.96,104.94,103.23,,30.5,965,37,28.9,965D6-(E1);
13.07.22 13:37:09,0.78,114.19,89.74,103.76,87.88,104.09,84.26,106.78,103.53,99.65,100.09,69.15,112.43,91.73,129.84,92.93,117.41,93.82,103.34,136.97,120.84,99.01,86.57,104.94,96.5,,30.5,965,37,28.93,965D6-(E1);
13.07.22 13:37:24,1.03,84.63,74.22,77.51,79.02,79.62,74.54,97.73,84.19,88.59,80.21,53.45,88.68,73.22,103.54,84.35,88.25,81.52,63.64,89.56,89.17,89.25,67.97,79.19,80.73,,30.5,965,37,28.97,965D6-(E1);
13.07.22 13:37:39,1.28,77.98,90.64,80.4,87.62,94.13,87.79,105.16,96.44,109.44,94.11,63.27,102.28,81.89,128.33,93.91,104.6,86.4,104.2,115.1,104.54,99.01,102.27,89.2,87.89,,30.5,965,37,29.01,965D6-(E1);
13.07.22 13:37:54,1.53,116.24,87.56,85.46,97.83,83.86,86.52,96.16,90.18,89.2,87.2,45.94,97.14,103.53,117.65,89.27,103.74,90.34,81.02,109.46,104.27,87.03,92.66,86.66,82.62,,30.5,965,37,29.07,965D6-(E1);
13.07.22 13:38:09,1.78,73.13,65.13,88.71,74.45,76.84,81.89,107.82,74.32,72.71,85.37,61.87,75.72,84.68,106.82,67.8,92.04,86.77,69.19,91.77,63.25,81.1,91.09,85.4,83.92,,30.5,965,37,29.11,965D6-(E1);
13.07.22 13:38:24,2.03,85.69,86.03,81.99,79.14,87.37,66.22,88.95,88.21,82.36,68.06,54.12,102.01,69.97,99.84,78.82,104.31,77.21,88.68,104.94,86.88,88.07,82.24,75.53,80.02,,30.5,965,37,29.15,965D6-(E1);
13.07.22 13:38:39,2.28,103.72,85.01,104.62,102,98.73,82.76,99.03,106.44,107.17,97.9,55.47,101.05,85.66,108.39,124.02,80.27,98.4,93.07,108.29,104.54,116.67,95.3,78.09,93.39,,30.5,965,37,29.22,965D6-(E1);
13.07.22 13:38:54,2.53,100.36,86.67,102.19,110.38,96.01,102.25,134.97,106.44,130.59,80.33,64.78,91.95,94,106.66,113.01,118,104,93.21,136.65,104.54,96.97,107.48,98.8,114.53,,30.5,965,37,29.28,965D6-(E1);
13.07.22 13:39:09,2.78,106.27,83.75,105.63,109.69,93.33,90.21,115.49,107.28,113.7,105.78,57.4,106.96,89.61,119.11,85.06,106.88,89.57,86.24,116,110.01,98.33,89.66,106.29,87.16,,30.5,965,37,29.32,965D6-(E1);
