Task,XXXX,,,,,,,,,
Scope 1/1,Sample 1/9 (Junk3),,,,,,,,,
Result,TitrationEQP1,,,,,,,,,
V,t ,E,T,dV/dt ,dE/dV ,log dE/dV ,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0,0,64.5,18.9,NaN,,,,,,
0.02,28,-33.5,19,0.0005,,,,,,
0.04,58,-59.5,19,0.0005,,,,,,
0.0865,61,-60,19,0.016,,,,,,
0.2025,91,-40.1,19,0.004,,,,,,
0.246,121,-23.2,19,0.0015,,,,,,
0.266,146,-15.2,19,0.001,,,,,,
0.3055,163,-10.3,19,0.0025,,,,,,
0.4045,184,-1.4,19,0.0045,,,,,,
0.6045,214,12.2,19,0.0065,17.34,1.24,,,,NaN
0.8045,244,26.6,19,0.0065,65.37,1.82,,,,NaN
1.0045,275,47.1,19,0.0065,259.44,2.41,,,,NaN
1.1265,305,76.6,19,0.004,447.51,2.65,,,,NaN
1.1545,335,100.2,19,0.001,483.01,2.68,,,,NaN
1.170891,,117.1,,,600.89,,,,,NaN
1.1745,479,120.8,19,0,478.43,2.68,,,,NaN
1.1945,507,130.3,19,0.0005,502.27,2.7,,,,NaN
1.231,535,149.6,19,0.0015,551.73,2.74,,,,NaN
1.251,553,158.6,18.9,0.001,390.38,2.59,,,,NaN
1.2725,568,166.7,18.9,0.0015,336.85,2.53,,,,NaN
1.2975,582,173.8,18.9,0.002,284.68,2.45,,,,NaN
1.334,594,181.7,18.9,0.003,232.73,2.37,,,,NaN
1.383,605,189.8,18.9,0.0045,172.56,2.24,,,,NaN
1.4465,615,197.6,18.9,0.0065,,,,,,
1.5345,623,205.5,18.9,0.0105,,,,,,
1.656,632,213.4,18.9,0.014,,,,,,
1.824,640,221.5,18.9,0.0215,,,,,,
2.024,647,228.5,18.9,0.0295,,,,,,
Scope 1/1,Sample 1/9 (1_C_Sq1_20220706),,,,,,,,,
Result,TitrationEQP1,,,,,,,,,
V,t ,E,T,dV/dt ,dE/dV ,log dE/dV ,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0,0,79.8,18.8,NaN,,,,,,
0.02,28,0.6,18.8,0.0005,,,,,,
0.04,58,-35.3,18.8,0.0005,,,,,,
0.06,80,-43.2,18.8,0.001,,,,,,
0.11,84,-43.6,18.8,0.0135,,,,,,
0.235,114,-24.3,18.8,0.004,,,,,,
0.2885,144,-11.8,18.8,0.002,,,,,,
0.334,168,-3.8,18.8,0.002,,,,,,
0.448,173,-0.4,18.8,0.0215,,,,,,
0.648,204,12.8,18.8,0.0065,30.87,1.49,,,,NaN
0.848,234,26.3,18.8,0.0065,73.75,1.87,,,,NaN
1.048,264,46.4,18.8,0.0065,251.94,2.4,,,,NaN
1.1745,294,78.5,18.8,0.004,424.66,2.63,,,,NaN
1.1995,324,101.4,18.8,0.001,456.59,2.66,,,,NaN
1.215539,,114.8,,,570,,,,,NaN
1.2195,468,118.1,18.8,0,454.42,2.66,,,,NaN
1.2395,494,126.3,18.8,0.001,482.02,2.68,,,,NaN
