Task,T1998
Scope 1/1, Sample 1/3 (METTLER TOLEDO USA (Ref. 25?C) | 4.01)
Result,Measurenormal1
t,E,T
1,167.9,20.1
2,167.9,20.1
3,168.0,20.1
4,168.0,20.1
5,168.0,20.1
6,168.1,20.1
7,168.1,20.1
8,168.0,20.1
9,168.0,20.1
10,168.0,20.1
11,168.1,20.1
12,168.1,20.1
13,168.1,20.1
14,168.1,20.1
15,168.1,20.1
16,168.2,20.1
Scope 1/1, Sample 2/3 (METTLER TOLEDO USA (Ref. 25?C) | 7.00)
Result,Measurenormal1
t,E,T
1,-5.3,20.1
2,-5.3,20.1
3,-5.3,20.1
4,-5.3,20.1
5,-5.3,20.1
6,-5.3,20.1
7,-5.3,20.1
8,-5.4,20.1
9,-5.4,20.1
10,-5.4,20.1
11,-5.4,20.1
12,-5.4,20.1
13,-5.3,20.1
14,-5.4,20.1
15,-5.3,20.1
16,-5.3,20.1
Scope 1/1, Sample 3/3 (METTLER TOLEDO USA (Ref. 25?C) | 10.01)
Result,Measurenormal1
t,E,T
1,-180.2,19.9
2,-180.2,19.9
3,-180.2,19.9
4,-180.2,19.9
5,-180.2,19.9
6,-180.1,19.9
7,-180.2,19.9
8,-180.2,19.9
9,-180.2,19.9
10,-180.2,19.9
11,-180.2,19.9
12,-180.2,19.9
13,-180.2,19.9
14,-180.2,19.9
15,-180.2,19.9
16,-180.2,19.9
