treatment,squaricle,date,sample name,ID,TA_SampleNames,TA_DateAnalyzed,TA_value1,TA_value2,comments
medium,1,7/1/22,Msq1 1/Jul/22,M_Sq1_20220701,1_Mid_Sq1_20220701; 2_Mid_Sq1_20220701,8/31/22,2192.45667,2169.21775,
high,2,7/8/22,Hsq2 8/Jul/22,H_Sq2_20220708,1_High_Sq2_20220708; 2_High_Sq2_20220708,8/31/22,2180.66197,2150.02335,
medium,2,7/14/22,Msq2 14/Jul/22,M_Sq2_20220714,1_Mid_Sq2_20220714; 2_Mid_Sq2_20220714,8/31/22,2166.77492,2157.60727,
control,2,7/16/22,Csq2 16/Jul/22,C_Sq2_20220716,1_Control_Sq2_20220716; 2_Control_Sq2_20220716,8/31/22,2170.60273,2161.7477,
control,1,6/28/22,Csq1 28/06/22,C_Sq1_20220628,1_C_Sq1_20220628; 2_C_Sq1_20220628,5/16/23,2181.51983,2185.38142,
high,2,6/28/22,Hsq2 28/06/22,H_Sq2_20220628,1_H_Sq2_20220628; 2_H_Sq2_20220628,5/16/23,2184.44427,2183.01592,
high,3,6/28/22,Hsq3 28/06/22,H_Sq3_20220628,1_H_Sq3_20220628; 2_H_Sq3_20220628,5/16/23,2180.17136,2188.35118,
medium,1,6/29/22,Msq1 29/06/22,M_Sq1_20220629,1_M_Sq1_20220629; 2_M_Sq1_20220629,5/16/23,2168.2681,2175.33453,
control,1,6/30/22,Csq1 30/06/22,C_Sq1_20220630,1_C_Sq1_20220630; 2_C_Sq1_20220630,5/16/23,2185.01907,2186.5035,
control,1,7/1/22,Csq1 1/Jul/22 or Csq1 1/07/22,C_Sq1_20220701,1_C_Sq1_20220701; 2_C_Sq1_20220701,5/16/23,2185.32489,2195.84419,"for the samples of July, I don't remember if I wrote the date with ""Jul"" or with ""07"""
high,2,7/1/22,Hsq2 1/Jul/22,H_Sq2_20220701,1_H_Sq2_20220701; 2_H_Sq2_20220701,5/16/23,2184.38642,2192.55397,
high,2,7/2/22,Hsq2 2/Jul/22,H_Sq2_20220702,1_H_Sq2_20220702; 2_H_Sq2_20220702,5/16/23,2193.22551,2191.80632,
control,1,7/6/22,Csq1 6/Jul/22,C_Sq1_20220706,1_C_Sq1_20220706; 2_C_Sq1_20220706,5/16/23,2561.30649,2180.70752,TA value 1 is pretty off
medium,3,7/12/22,Msq3 12/Jul/22,M_Sq3_20220712,1_M_Sq3_20220712; 2_M_Sq3_20220712,5/16/23,2189.71151,2189.7585,Did JA process this sample on 5/16/23 or 5/25/23?
high,2,7/12/22,Hsq2 12/Jul/22,H_Sq2_20220712,1_H_Sq2_20220712; 2_H_Sq2_20220712,5/16/23,2224.44045,2229.62326,
high,2,7/16/22,Hsq2 16/Jul/22,H_Sq2_20220716,1_H_Sq2_20220716; 2_H_Sq2_20220716,5/16/23,2210.18898,2213.39557,
high,1,6/28/22,Hsq1 28/06/22,H_Sq1_20220628,1_H_Sq1_20220628; 2_H_Sq1_20220628,5/22/23,2177.85075,2178.26906,
