Date,Calib.Date,Time,tank,squaricle,SampleID,pH,pH_mV,temp,salinity,,
20220620,20220618,10:11,C,1,C_Sq1_20220620,7.83,-67.63382,26.9,36.95,,
20220620,20220618,10:09,C,2,C_Sq2_20220620,7.83,-67.63382,26.9,36.91,,
20220620,20220618,10:08,C,3,C_Sq3_20220620,7.89,-71.21906,26.8,36.8,,
20220620,20220618,9:50,M,1,M_Sq1_20220620,7.86,-69.42644,28.7,37,,
20220620,20220618,9:48,M,2,M_Sq2_20220620,7.9,-71.8166,28.9,37,,
20220620,20220618,9:52,M,3,M_Sq3_20220620,7.84,-68.23136,29.3,37.05,,
20220620,20220618,9:56,H,1,H_Sq1_20220620,7.81,-66.43874,30.5,37.13,,
20220620,20220618,9:57,H,2,H_Sq2_20220620,7.82,-67.03628,30.5,37,,
20220620,20220618,9:59,H,3,H_Sq3_20220620,7.83,-67.63382,30,36.97,,
20220620,20220618,13:04,C,1,C_Sq1_20220620,7.84,-68.23136,27.7,37.05,,
20220620,20220618,13:02,C,2,C_Sq2_20220620,7.84,-68.23136,27.6,37.07,,
20220620,20220618,13:01,C,3,C_Sq3_20220620,7.87,-70.02398,27.7,37.11,,
20220620,20220618,13:09,M,1,M_Sq1_20220620,7.56,-51.50024,29.2,37.03,,
20220620,20220618,13:11,M,2,M_Sq2_20220620,7.32,-37.15928,29.2,37.03,,
20220620,20220618,13:13,M,3,M_Sq3_20220620,7.41,-42.53714,29.1,37.05,,
20220620,20220618,13:21,H,1,H_Sq1_20220620,7.63,-55.68302,30.1,37.05,,
20220620,20220618,13:08,H,2,H_Sq2_20220620,7.63,-55.68302,31,37.09,,
20220620,20220618,13:16,H,3,H_Sq3_20220620,7.71,-60.46334,30.6,37.1,,
20220620,20220618,15:13,C,1,C_Sq1_20220620,7.87,-70.02398,27.8,37.07,,
20220620,20220618,15:06,C,2,C_Sq2_20220620,7.92,-73.01168,27.6,37.1,,
20220620,20220618,15:10,C,3,C_Sq3_20220620,7.88,-70.62152,28.3,37.15,,
20220620,20220618,15:18,M,1,M_Sq1_20220620,7.84,-68.23136,29.4,37.09,,
20220620,20220618,15:16,M,2,M_Sq2_20220620,7.81,-66.43874,29.7,37.09,,
20220620,20220618,15:20,M,3,M_Sq3_20220620,7.84,-68.23136,29,37.11,,
20220620,20220618,15:27,H,1,H_Sq1_20220620,7.53,-49.70762,30.8,37.15,,
20220620,20220618,15:23,H,2,H_Sq2_20220620,7.54,-50.30516,31.2,37.15,,
20220620,20220618,15:26,H,3,H_Sq3_20220620,7.54,-50.30516,31.3,37.13,,
20220621,20220618,10:34,C,1,C_Sq1_20220621,7.84,-68.23136,27,36.99,,
20220621,20220618,10:27,C,2,C_Sq2_20220621,7.87,-70.02398,26.9,37.03,,
20220621,20220618,10:31,C,3,C_Sq3_20220621,7.84,-68.23136,26.8,37.01,,
20220621,20220618,10:40,M,1,M_Sq1_20220621,7.56,-51.50024,28.7,37.02,,
20220621,20220618,10:38,M,2,M_Sq2_20220621,7.56,-51.50024,29.8,36.93,,
20220621,20220618,10:44,M,3,M_Sq3_20220621,7.59,-53.29286,28.7,37.06,,
20220621,20220618,11:01,H,1,H_Sq1_20220621,7.45,-44.9273,30.9,37.06,,
20220621,20220618,10:56,H,2,H_Sq2_20220621,7.46,-45.52484,30.5,37.06,,
20220621,20220618,10:58,H,3,H_Sq3_20220621,7.46,-45.52484,30.7,37.06,,
20220621,20220618,12:54,C,1,C_Sq1_20220621,7.83,-67.63382,27.5,37.03,,
20220621,20220618,12:47,C,2,C_Sq2_20220621,7.9,-71.8166,27.4,37.03,,
20220621,20220618,12:52,C,3,C_Sq3_20220621,7.84,-68.23136,27.3,37.04,,
20220621,20220618,12:58,M,1,M_Sq1_20220621,7.82,-67.03628,28.3,37.02,,
20220621,20220618,12:56,M,2,M_Sq2_20220621,7.81,-66.43874,28.4,37.03,,
20220621,20220618,13:02,M,3,M_Sq3_20220621,7.82,-67.03628,28.4,38.03,,
20220621,20220618,13:07,H,1,H_Sq1_20220621,7.51,-48.51254,29.9,37.16,,
20220621,20220618,13:04,H,2,H_Sq2_20220621,7.52,-49.11008,30,37.12,,
20220621,20220618,13:05,H,3,H_Sq3_20220621,7.52,-49.11008,29.9,37.12,,
20220621,20220618,17:22,C,1,C_Sq1_20220621,7.84,-68.23136,27.2,37.13,,
20220621,20220618,17:18,C,2,C_Sq2_20220621,7.86,-69.42644,27.2,37.15,,
20220621,20220618,17:19,C,3,C_Sq3_20220621,7.84,-68.23136,27.2,37.13,,
