Date,Calib.Date,Time,tank,squaricle,SampleID,pH,pH_mV,temp,salinity
20220628,20220618,14:50,C,1,C_Sq1_20220628,8.03,-79.58462,27.9,37.16
20220628,20220618,14:52,C,2,C_Sq2_20220628,8.04,-80.18216,27.7,37.1
20220628,20220618,14:53,C,3,C_Sq3_20220628,8.01,-78.38954,27.6,37.18
20220628,20220618,14:56,M,1,M_Sq1_20220628,7.81,-66.43874,29.5,36.95
20220628,20220618,14:54,M,2,M_Sq2_20220628,7.86,-69.42644,29.5,37.13
20220628,20220618,15:01,M,3,M_Sq3_20220628,7.86,-69.42644,28.9,37
20220628,20220618,15:08,H,1,H_Sq1_20220628,7.66,-57.47564,31.8,36.97
20220628,20220618,15:03,H,2,H_Sq2_20220628,7.64,-56.28056,31.4,37.07
20220628,20220618,15:05,H,3,H_Sq3_20220628,7.63,-55.68302,31.4,36.97
20220629,20220618,13:02,C,1,C_Sq1_20220629,8.03,-79.58462,26.9,37.11
20220629,20220618,13:04,C,2,C_Sq2_20220629,8.01,-78.38954,27,37.2
20220629,20220618,13:07,C,3,C_Sq3_20220629,8.04,-80.18216,26.8,36.95
20220629,20220618,13:10,M,1,M_Sq1_20220629,7.81,-66.43874,28.6,36.91
20220629,20220618,13:13,M,2,M_Sq2_20220629,7.8,-65.8412,28.4,36.8
20220629,20220618,13:15,M,3,M_Sq3_20220629,7.83,-67.63382,28.7,37
20220629,20220618,13:17,H,1,H_Sq1_20220629,7.69,-59.26826,30.6,37
20220629,20220618,13:20,H,2,H_Sq2_20220629,7.68,-58.67072,30.8,37.05
20220629,20220618,13:23,H,3,H_Sq3_20220629,7.66,-57.47564,30.9,37.13
20220630,20220618,12:59,C,1,C_Sq1_20220630,7.98,-76.59692,27.5,36.97
20220630,20220618,13:03,C,2,C_Sq2_20220630,7.96,-75.40184,27.4,37.05
20220630,20220618,13:05,C,3,C_Sq3_20220630,7.99,-77.19446,27.3,37.07
20220630,20220618,13:07,M,1,M_Sq1_20220630,7.81,-66.43874,29,37.11
20220630,20220618,13:10,M,2,M_Sq2_20220630,7.8,-65.8412,29.1,37.11
20220630,20220618,13:13,M,3,M_Sq3_20220630,7.83,-67.63382,28.8,37.15
20220630,20220618,13:17,H,1,H_Sq1_20220630,7.67,-58.07318,30.9,37.15
20220630,20220618,13:21,H,2,H_Sq2_20220630,7.65,-56.8781,30.8,37.13
20220630,20220618,13:24,H,3,H_Sq3_20220630,7.69,-59.26826,30.5,36.99
20220701,20220618,13:04,C,1,C_Sq1_20220701,8.03,-79.58462,27.9,37.16
20220701,20220618,13:02,C,2,C_Sq2_20220701,8.04,-80.18216,27.7,37.1
20220701,20220618,13:01,C,3,C_Sq3_20220701,8.01,-78.38954,27.6,37.18
20220701,20220618,13:09,M,1,M_Sq1_20220701,7.81,-66.43874,29.5,36.95
20220701,20220618,13:11,M,2,M_Sq2_20220701,7.86,-69.42644,29.5,37.13
20220701,20220618,13:13,M,3,M_Sq3_20220701,7.86,-69.42644,28.9,37
20220701,20220618,13:21,H,1,H_Sq1_20220701,7.66,-57.47564,31.8,36.97
20220701,20220618,13:08,H,2,H_Sq2_20220701,7.64,-56.28056,31.4,37.07
20220701,20220618,13:16,H,3,H_Sq3_20220701,7.63,-55.68302,31.4,36.97
20220702,20220618,12:54,C,1,C_Sq1_20220702,8.05,-80.7797,26.9,37.12
20220702,20220618,12:47,C,2,C_Sq2_20220702,8.03,-79.58462,27,37.13
20220702,20220618,12:52,C,3,C_Sq3_20220702,8,-77.792,26.8,37.15
20220702,20220618,12:58,M,1,M_Sq1_20220702,7.82,-67.03628,28.6,37.13
20220702,20220618,12:56,M,2,M_Sq2_20220702,7.85,-68.8289,28.4,37.1
20220702,20220618,13:02,M,3,M_Sq3_20220702,7.87,-70.02398,28.7,37.22
20220702,20220618,13:07,H,1,H_Sq1_20220702,7.63,-55.68302,30.6,37.14
20220702,20220618,13:04,H,2,H_Sq2_20220702,7.65,-56.8781,30.8,37.15
20220702,20220618,13:05,H,3,H_Sq3_20220702,7.63,-55.68302,30.9,37.11
20220703,20220618,12:56,C,1,C_Sq1_20220703,8.07,-81.97478,27.5,37.22
20220703,20220618,13:02,C,2,C_Sq2_20220703,8.01,-78.38954,27.4,37.06
20220703,20220618,13:07,C,3,C_Sq3_20220703,8.01,-78.38954,27.3,37.13
20220703,20220618,13:04,M,1,M_Sq1_20220703,7.84,-68.23136,29,37.03
20220703,20220618,13:05,M,2,M_Sq2_20220703,7.86,-69.42644,29.1,37.12
20220703,20220618,13:07,M,3,M_Sq3_20220703,7.86,-69.42644,28.8,37.13
20220703,20220618,13:09,H,1,H_Sq1_20220703,7.62,-55.08548,30.9,37.15
20220703,20220618,13:11,H,2,H_Sq2_20220703,7.66,-57.47564,30.8,37.13
20220703,20220618,13:14,H,3,H_Sq3_20220703,7.64,-56.28056,30.5,36.91
20220705,20220618,14:50,C,1,C_Sq1_20220705,8.06,-81.37724,27.6,37.16
20220705,20220618,14:52,C,2,C_Sq2_20220705,8.03,-79.58462,27.5,37.1
20220705,20220618,14:53,C,3,C_Sq3_20220705,8.03,-79.58462,27.4,37.18
20220705,20220618,14:56,M,1,M_Sq1_20220705,7.83,-67.63382,29.1,36.95
20220705,20220618,14:54,M,2,M_Sq2_20220705,7.88,-70.62152,29.2,37.13
20220705,20220618,15:01,M,3,M_Sq3_20220705,7.88,-70.62152,28.9,37
20220705,20220618,15:08,H,1,H_Sq1_20220705,7.6,-53.8904,31,36.97
20220705,20220618,15:03,H,2,H_Sq2_20220705,7.64,-56.28056,30.9,37.07
20220705,20220618,15:05,H,3,H_Sq3_20220705,7.62,-55.08548,30.6,36.97
20220706,20220618,12:56,C,1,C_Sq1_20220706,8.08,-82.57232,27.7,37.13
20220706,20220618,13:02,C,2,C_Sq2_20220706,8.01,-78.38954,27.6,37
20220706,20220618,13:07,C,3,C_Sq3_20220706,8.01,-78.38954,27.5,36.97
20220706,20220618,13:04,M,1,M_Sq1_20220706,7.85,-68.8289,29.2,37.05
20220706,20220618,13:05,M,2,M_Sq2_20220706,7.87,-70.02398,29.3,37.07
20220706,20220618,13:07,M,3,M_Sq3_20220706,7.89,-71.21906,28.6,37.11
20220706,20220618,13:09,H,1,H_Sq1_20220706,7.61,-54.48794,31.1,37.11
20220706,20220618,13:12,H,2,H_Sq2_20220706,7.64,-56.28056,31,37.15
20220706,20220618,13:15,H,3,H_Sq3_20220706,7.66,-57.47564,30.7,37.15
20220707,20220618,13:04,C,1,C_Sq1_20220707,8.07,-80.18216,27.2,36.95
20220707,20220618,13:02,C,2,C_Sq2_20220707,8.04,-80.18216,27.1,37.13
20220707,20220618,13:01,C,3,C_Sq3_20220707,8.04,-65.8412,27,37
20220707,20220618,13:09,M,1,M_Sq1_20220707,7.8,-71.8166,29.3,36.97
20220707,20220618,13:11,M,2,M_Sq2_20220707,7.9,-71.8166,29.4,37.07
20220707,20220618,13:13,M,3,M_Sq3_20220707,7.9,-55.68302,28.5,37.18
20220707,20220618,13:21,H,1,H_Sq1_20220707,7.63,-58.07318,31.2,36.93
20220707,20220618,13:08,H,2,H_Sq2_20220707,7.67,-56.8781,31.1,37.1
20220707,20220618,13:16,H,3,H_Sq3_20220707,7.65,-81.37724,30.8,37.15
20220708,20220618,13:45,C,1,C_Sq1_20220708,8.06,-79.58462,27.3,36.96
20220708,20220618,13:47,C,2,C_Sq2_20220708,8.03,-79.58462,27.2,36.93
20220708,20220618,13:49,C,3,C_Sq3_20220708,8.03,-68.8289,27.1,36.81
20220708,20220618,13:51,M,1,M_Sq1_20220708,7.85,-70.02398,29.2,37.11
20220708,20220618,13:54,M,2,M_Sq2_20220708,7.87,-70.62152,29.1,37.12
20220708,20220618,13:57,M,3,M_Sq3_20220708,7.88,-55.68302,28.6,37.1
20220708,20220618,14:00,H,1,H_Sq1_20220708,7.63,-58.67072,31.1,37.11
20220708,20220618,14:02,H,2,H_Sq2_20220708,7.68,-57.47564,31,37.2
20220708,20220618,14:03,H,3,H_Sq3_20220708,7.66,-80.18216,30.7,37.18
20220709,20220618,13:00,C,1,C_Sq1_20220709,8.04,-80.18216,27.7,36.84
