"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","A","B","C","D","E","F","G","H","L","M","N"
"Pocillopora_acuta_HIv2___RNAseq.g17108.t1",55.7905122938088,1.88109507795505,0.332788875126248,5.65251791317071,1.58114314288146e-08,1.25895482092046e-05,98,39,40,40,39,33,28,24,167,44,49
"Pocillopora_acuta_HIv2___RNAseq.g15257.t1",343.600375295671,1.63195414521361,0.454425553059247,3.59124643019543,0.000329100272970872,0.0203679844805355,893,435,128,245,154,342,208,255,379,315,306
"Pocillopora_acuta_HIv2___RNAseq.g6132.t1",1863.00385395082,0.68943193300157,0.184669910950749,3.73332033059484,0.000188972009285583,0.0137689461106946,2499,1731,2111,1987,1850,1538,1651,1514,2649,1524,1374
"Pocillopora_acuta_HIv2___RNAseq.g29686.t2",1446.50243853666,-0.855064551534991,0.202138399312735,-4.23009460073982,2.33593057080791e-05,0.00322389564512436,1002,2381,1732,1218,2409,1281,1933,1704,1359,1556,395
"Pocillopora_acuta_HIv2___RNAseq.g26609.t2",4277.51135324267,0.779074799461773,0.178922189666124,4.35426595726086,1.33513535602789e-05,0.00226557148692536,5069,3273,3513,4017,4978,4240,3951,4189,6803,3998,3045
"Pocillopora_acuta_HIv2___TS.g8550.t1b",16.2150626434696,2.39567864965196,0.747757433361457,3.20381789971978,0.00135618225304627,0.0449531120709151,51,2,10,11,10,4,11,4,24,18,20
"Pocillopora_acuta_HIv2___RNAseq.g22613.t1",981.809104522434,-0.568379693928088,0.17259499761934,-3.29314117887504,0.000990747127138662,0.0391206628586714,892,1266,1500,1034,1164,1018,1255,1148,852,948,305
"Pocillopora_acuta_HIv2___RNAseq.g14922.t1",769.267472947639,1.64202162355866,0.4893181819839,3.35573392531874,0.000791546829307038,0.03486511161769,890,543,369,466,672,540,504,865,656,633,1289
"Pocillopora_acuta_HIv2___RNAseq.g30957.t1",288.596125403958,1.451805003386,0.377686678131272,3.84394019553266,0.000121074522842082,0.010188962487304,268,302,225,248,208,230,149,191,730,179,310
"Pocillopora_acuta_HIv2___RNAseq.g20746.t1",879.137361904593,-0.874279255337721,0.262861501462093,-3.32600723375157,0.000880996421984961,0.0369874234654402,737,1076,1189,896,958,1103,1542,774,483,1214,256
