gene_id,A_R1_001.bam.gtf,B_R1_001.bam.gtf,C_R1_001.bam.gtf,D_R1_001.bam.gtf,E_R1_001.bam.gtf,F_R1_001.bam.gtf,G_R1_001.bam.gtf,H_R1_001.bam.gtf,L_R1_001.bam.gtf,M_R1_001.bam.gtf,N_R1_001.bam.gtf
Pocillopora_acuta_HIv2___RNAseq.g4145.t1,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g3788.t1,0,6,3,4,4,3,0,2,3,6,0
Pocillopora_acuta_HIv2___TS.g8199.t1,0,0,15,0,0,0,0,0,0,4,0
Pocillopora_acuta_HIv2___RNAseq.g2361.t1,0,0,0,0,0,0,0,12,0,0,0
STRG.15042,289,287,300,325,203,262,205,236,348,182,147
STRG.15043,17,22,12,17,14,25,14,21,10,5,4
STRG.15040,1934,2443,1451,1095,3275,1292,2476,2377,2100,1779,791
STRG.8660,6,0,0,0,0,0,0,0,3,1,0
STRG.15046,483,729,2291,1339,808,905,1217,524,664,927,226
STRG.15047,293,267,372,439,332,319,266,319,362,290,437
STRG.8665,240,416,112,171,208,318,309,243,372,247,181
STRG.15045,662,1000,854,477,806,695,466,441,471,469,258
STRG.15048,319,257,315,363,406,278,311,359,288,295,161
STRG.8668,15,29,16,29,15,45,27,19,41,26,20
STRG.6544,551,685,1185,939,647,700,816,558,493,731,260
STRG.6545,1,0,1,0,5,0,1,0,0,0,0
STRG.6546,28,31,0,7,26,14,121,10,31,10,12
STRG.6547,75,120,70,94,175,151,85,110,99,91,49
STRG.6540,343,367,328,345,522,497,403,547,432,322,325
Pocillopora_acuta_HIv2___RNAseq.g15631.t1,0,0,0,0,0,0,0,0,0,0,0
STRG.6542,1934,2261,2420,2233,2352,2161,2348,2054,1908,2047,783
STRG.6543,105,50,138,156,52,90,113,33,97,57,20
STRG.6548,11,6,26,52,3,65,9,9,0,8,7
STRG.6549,20,32,27,18,25,32,32,34,86,30,0
STRG.17574,37,961,726,1243,263,2005,420,435,141,494,42
STRG.17575,4,113,335,553,45,526,240,71,3,70,0
STRG.17576,252,265,95,212,460,282,337,301,218,276,142
STRG.2437,596,681,840,648,654,521,628,576,618,555,268
Pocillopora_acuta_HIv2___RNAseq.g20966.t1,0,0,0,0,13,0,0,0,0,2,0
STRG.17571,3048,3646,1799,1974,1657,4657,2472,3211,4581,2627,1511
STRG.17572,152,457,60,102,103,177,95,155,134,111,273
STRG.17573,39,91,1117,1941,101,2509,780,115,90,454,33
Pocillopora_acuta_HIv2___RNAseq.g4455.t1,0,0,21,4,17,22,9,3,10,13,16
STRG.17579,166,197,142,316,192,170,216,157,89,217,96
Pocillopora_acuta_HIv2___RNAseq.g4147.t1,0,0,0,0,0,0,0,0,0,0,0
STRG.15595,318,147,157,135,119,153,181,120,298,236,278
STRG.15596,1377,3891,856,980,527,2690,911,1414,1319,954,706
STRG.15597,2917,2438,2935,2818,3300,3182,2811,2616,4081,2801,1096
STRG.15590,262,395,328,408,395,173,307,283,285,288,83
STRG.15591,244,338,251,210,201,339,194,265,175,291,137
STRG.15592,929,1265,1332,1238,1364,1111,1201,1103,1151,1110,1289
STRG.15593,114,138,221,181,166,189,131,149,123,206,86
STRG.15598,291,243,46,139,62,247,148,119,216,167,135
STRG.15599,1536,2472,2017,1763,1848,1513,1987,1072,2712,1578,518
Pocillopora_acuta_HIv2___RNAseq.g8945.t1,0,0,0,0,0,0,0,0,0,0,0
STRG.12065,615,753,629,566,676,462,491,507,593,450,241
STRG.12064,176,124,131,170,141,179,167,141,133,197,84
STRG.12067,42,22,9,17,59,2,28,20,28,17,11
STRG.12066,108,54,0,0,134,41,179,22,90,138,145
STRG.12061,511,460,618,610,469,336,413,423,554,354,444
STRG.12060,865,753,1899,1346,979,954,1277,574,1027,1092,421
STRG.17688,79,122,198,135,166,79,176,103,112,105,81
STRG.12062,109,143,252,144,141,127,163,134,58,137,150
STRG.17686,134,98,145,117,166,98,130,153,151,125,166
STRG.17687,73,76,90,57,104,69,73,67,99,41,57
STRG.17684,66,57,68,65,62,63,64,79,90,72,42
STRG.17685,126,107,148,120,158,107,156,116,123,88,101
STRG.12069,938,709,745,764,950,748,849,872,1282,818,1109
Pocillopora_acuta_HIv2___RNAseq.g6119.t1,0,0,0,0,0,0,0,0,0,0,0
STRG.17680,1247,2698,1014,1196,1633,1568,1699,1871,1615,1291,269
STRG.17681,180,150,97,125,178,130,175,170,177,141,79
Pocillopora_acuta_HIv2___RNAseq.g23470.t1,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g17372.t1,0,0,0,0,0,0,326,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g6640.t1,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g18698.t1,0,0,0,0,0,0,0,0,0,0,0
STRG.2964,858,1107,1551,1069,1028,560,1048,753,817,867,326
STRG.1017,105,84,370,505,89,292,208,26,85,118,29
STRG.18750,86,88,133,198,81,115,96,93,141,69,42
STRG.1015,269,265,316,281,456,314,444,370,278,307,144
Pocillopora_acuta_HIv2___TS.g12271.t1,0,0,0,0,0,0,0,0,0,0,0
STRG.1013,469,789,383,373,579,571,782,653,621,586,19
STRG.18754,543,495,248,304,789,400,662,306,543,716,701
STRG.1011,1431,1676,1510,1402,1790,1445,1495,1500,1336,1413,806
STRG.1010,1695,1452,1483,1339,1510,1338,1522,1225,2024,1336,848
STRG.18759,641,621,164,357,796,378,828,495,537,959,272
STRG.18758,641,499,187,280,687,400,1159,498,475,1099,321
Pocillopora_acuta_HIv2___RNAseq.g22672.t1,0,0,0,0,0,0,0,0,0,0,0
STRG.1019,34,32,206,306,34,194,139,11,60,48,11
STRG.1018,23,13,13,22,7,17,23,8,19,9,2
STRG.14885,79,65,100,71,65,80,225,52,97,84,0
STRG.14884,272,286,456,416,347,237,286,214,465,240,217
STRG.14887,208,194,286,263,263,125,143,124,208,149,1907
STRG.14886,75,90,106,70,65,59,61,53,106,69,98
STRG.14881,53,50,76,59,72,53,69,38,85,63,66
STRG.14880,22,28,60,25,0,36,62,37,29,42,39
STRG.14883,35,34,77,88,82,38,81,69,36,45,178
Pocillopora_acuta_HIv2___TS.g16486.t1,0,0,0,0,0,0,0,0,0,0,0
STRG.14889,154,98,191,93,71,122,227,61,131,101,91
STRG.14888,36,65,44,49,51,40,202,39,46,53,0
Pocillopora_acuta_HIv2___RNAseq.g13724.t1,0,4,0,0,5,0,2,2,3,5,15
STRG.7211,1689,2646,1003,1484,2249,1905,1809,2246,2094,1966,481
Pocillopora_acuta_HIv2___RNAseq.g5622.t1,0,0,3,0,0,12,0,0,0,0,5
Pocillopora_acuta_HIv2___RNAseq.g15683.t1,0,0,0,0,0,0,0,0,0,0,0
STRG.18289,354,510,476,341,488,300,374,330,271,413,167
STRG.18288,1634,1665,1133,1215,1895,1360,1561,1982,1760,1718,242
STRG.18283,415,397,418,508,395,383,444,445,433,475,201
STRG.18282,186,334,215,153,152,297,172,226,239,157,136
STRG.18281,15,23,5,1,31,8,22,8,7,18,3
STRG.18280,9383,9215,7266,5832,10276,6729,9777,7106,11800,8220,8730
STRG.18287,240,200,202,216,262,204,200,258,177,246,53
STRG.18286,982,1241,1848,1873,1208,1534,1474,1280,1034,1485,336
STRG.18285,16,11,23,30,17,25,28,23,26,22,2
STRG.18284,60,53,55,35,34,33,28,33,11,17,8
Pocillopora_acuta_HIv2___RNAseq.g19501.t1,0,0,3,0,0,0,0,1,0,0,0
STRG.22389,1941,1578,4294,4344,2205,2489,2207,1856,2172,2359,1004
STRG.22388,2094,2301,2934,2974,2146,2283,2174,1881,2955,2462,864
STRG.22387,924,941,1202,1097,1108,904,838,824,1155,916,505
STRG.22386,230,372,151,234,238,369,314,305,331,293,63
STRG.22385,6,16,51,24,20,32,23,8,28,28,3
STRG.22384,9,0,7,19,0,0,9,6,7,26,0
STRG.22383,3,0,8,0,0,0,0,0,0,0,0
STRG.22382,31,29,32,27,28,35,47,35,58,34,0
STRG.22381,29,47,15,10,14,63,44,32,25,14,0
