"","A","B","C","D","E","F","G","H","L","M","N"
"Pocillopora_acuta_HIv2___RNAseq.g23616.t1",10,6,29,5,27,5,15,16,13,8,11
"Pocillopora_acuta_HIv2___RNAseq.g4197.t1",10,13,7,8,8,17,20,19,16,6,4
"Pocillopora_acuta_HIv2___RNAseq.g12137.t1",91,62,137,81,71,38,80,41,59,46,64
"Pocillopora_acuta_HIv2___RNAseq.g4784.t1",37,45,4,0,46,56,58,24,49,46,19
"Pocillopora_acuta_HIv2___RNAseq.g23764.t1",23,13,22,13,24,13,30,38,19,10,16
"Pocillopora_acuta_HIv2___RNAseq.g27841.t1",1175,1107,1954,1703,1435,1054,1471,1060,1390,1146,908
"Pocillopora_acuta_HIv2___RNAseq.g14011.t1",494,568,675,508,464,450,393,432,411,431,313
"Pocillopora_acuta_HIv2___RNAseq.g7479.t3a",665,809,402,389,844,599,699,715,823,810,596
"Pocillopora_acuta_HIv2___RNAseq.g7479.t3b",1113,1322,330,582,1560,868,1963,1049,692,1945,962
"Pocillopora_acuta_HIv2___RNAseq.g3340.t1",225,271,500,385,275,202,209,260,262,252,171
"Pocillopora_acuta_HIv2___RNAseq.g682.t1",185,131,0,0,71,132,289,105,202,106,125
"Pocillopora_acuta_HIv2___RNAseq.g25357.t1",59,28,70,98,42,44,47,53,21,63,7
"Pocillopora_acuta_HIv2___TS.g11024.t1",93,104,145,110,136,86,148,57,60,114,88
"Pocillopora_acuta_HIv2___TS.g13281.t1",90,110,158,135,74,132,64,85,134,111,20
"Pocillopora_acuta_HIv2___RNAseq.g4805.t1",15,9,12,0,16,0,15,10,18,9,21
"Pocillopora_acuta_HIv2___RNAseq.g28983.t1",183,237,602,396,236,236,349,133,177,231,110
"Pocillopora_acuta_HIv2___RNAseq.g11539.t1",234,251,329,318,212,359,241,258,218,319,115
"Pocillopora_acuta_HIv2___TS.g30900.t1",284,224,332,279,317,271,239,209,357,177,262
"Pocillopora_acuta_HIv2___RNAseq.g793.t1",8978,12375,9976,10188,14384,11160,13450,12771,10056,10843,2599
"Pocillopora_acuta_HIv2___RNAseq.g11061.t1",29,120,52,34,0,79,2,94,18,35,36
