"","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1448","GO:0003700",1.27484321092806e-05,0.999994753849523,37,509,"DNA-binding transcription factor activity","MF"
"10695","GO:0043565",1.77493983419355e-05,0.999992976861272,33,442,"sequence-specific DNA binding","MF"
"17435","GO:1901052",3.35544618335114e-05,1,3,3,"sarcosine metabolic process","BP"
"1436","GO:0003677",3.69379987118433e-05,0.999982014465965,49,780,"DNA binding","MF"
"367","GO:0000981",4.42976422079349e-05,0.999981861264969,32,441,"DNA-binding transcription factor activity, RNA polymerase II-specific","MF"
"5720","GO:0016645",4.60800456548418e-05,0.999995555868947,7,30,"oxidoreductase activity, acting on the CH-NH group of donors","MF"
"10888","GO:0044283",5.45397555402525e-05,0.999976734359868,34,493,"small molecule biosynthetic process","BP"
"2928","GO:0006553",5.6574481209598e-05,0.999997202610753,5,14,"lysine metabolic process","BP"
"10094","GO:0042426",7.83202260870167e-05,0.999995846249925,5,14,"choline catabolic process","BP"
"5420","GO:0016053",7.94870359461788e-05,0.999971094847524,24,300,"organic acid biosynthetic process","BP"
"11736","GO:0046394",7.94870359461788e-05,0.999971094847524,24,300,"carboxylic acid biosynthetic process","BP"
"1444","GO:0003690",0.000100801516998954,0.999957397334561,31,441,"double-stranded DNA binding","MF"
"6305","GO:0019695",0.000110764162619929,0.999993520597917,5,15,"choline metabolic process","BP"
"2320","GO:0005542",0.000113598260868639,0.999996325995873,4,9,"folic acid binding","MF"
"11748","GO:0046439",0.000123078093686602,0.999995934227926,4,9,"L-cysteine metabolic process","BP"
"17607","GO:1901607",0.000168590223172705,0.99996734823659,10,74,"alpha-amino acid biosynthetic process","BP"
"4110","GO:0009066",0.000191645045526042,0.999966386771739,9,63,"aspartate family amino acid metabolic process","BP"
"12029","GO:0046997",0.000198199542948876,0.999998118043558,3,4,"oxidoreductase activity, acting on the CH-NH group of donors, flavin as acceptor","MF"
"362","GO:0000976",0.000229388150091477,0.999910167898702,24,321,"transcription cis-regulatory region binding","MF"
"2950","GO:0006576",0.000236852114899731,0.99995198297355,10,77,"biogenic amine metabolic process","BP"
"10831","GO:0044106",0.000236852114899731,0.99995198297355,10,77,NA,NA
"9548","GO:0035999",0.000255791204086626,0.999989183424151,4,10,"tetrahydrofolate interconversion","BP"
"4283","GO:0009308",0.00026010813865136,0.999946590635192,10,78,"amine metabolic process","BP"
"4038","GO:0008652",0.000315540833093127,0.999926941664498,11,96,"amino acid biosynthetic process","BP"
"295","GO:0000796",0.0003155452183071,0.999987551260842,4,8,"condensin complex","CC"
"17200","GO:0140110",0.00038584564351769,0.999801276111858,42,710,"transcription regulator activity","MF"
"451","GO:0001228",0.00045183210295582,0.999853191572733,16,189,"DNA-binding transcription activator activity, RNA polymerase II-specific","MF"
"363","GO:0000977",0.000460011143388057,0.999818880957408,22,298,"RNA polymerase II transcription regulatory region sequence-specific DNA binding","MF"
"382","GO:0001012",0.000511186872557992,0.999797076737803,22,300,NA,NA
"6320","GO:0019752",0.000550778912770252,0.999710953531655,42,735,"carboxylic acid metabolic process","BP"
"426","GO:0001158",0.000589096986997261,0.999892474021711,8,60,NA,NA
"9960","GO:0042135",0.000640698497461075,0.999940157762638,5,21,"neurotransmitter catabolic process","BP"
"5635","GO:0016491",0.000659326144546615,0.999683355002344,32,528,"oxidoreductase activity","MF"
"8459","GO:0033353",0.000690905170127694,0.999982380172469,3,6,"S-adenosylmethionine cycle","BP"
"2631","GO:0006082",0.000744146616498801,0.999594337110895,45,815,"organic acid metabolic process","BP"
"2929","GO:0006554",0.000746248820688383,0.999980448663357,3,6,"lysine catabolic process","BP"
"6","GO:0000012",0.000802382233820207,0.999949271907327,4,13,"single strand break repair","BP"
"11068","GO:0044815",0.000873613761073887,0.99991330901946,5,20,"DNA packaging complex","CC"
"19562","GO:1990837",0.000920244421416096,0.999600889178169,24,353,"sequence-specific double-stranded DNA binding","MF"
"450","GO:0001227",0.00101606609088182,0.999748007394016,10,95,"DNA-binding transcription repressor activity, RNA polymerase II-specific","MF"
"10618","GO:0043436",0.00106171118376628,0.999414417784457,44,806,"oxoacid metabolic process","BP"
"3950","GO:0008480",0.00107687450405922,1,2,2,"sarcosine dehydrogenase activity","MF"
"17436","GO:1901053",0.00107687450405922,1,2,2,"sarcosine catabolic process","BP"
"400","GO:0001078",0.00115204100430195,0.999798267703053,7,49,NA,NA
"16455","GO:0097164",0.00120349269288515,0.999624920568659,13,144,"ammonium ion metabolic process","BP"
"9225","GO:0035326",0.00131268918863162,0.999726413614364,8,67,NA,NA
"368","GO:0000982",0.00132890774755223,0.999538660497004,15,188,NA,NA
"292","GO:0000793",0.00136152816896204,0.999570714035231,13,136,"condensed chromosome","CC"
"11175","GO:0045165",0.00137370048398593,0.999354078868565,27,410,"cell fate commitment","BP"
"11869","GO:0046653",0.0013872970265176,0.99989434557553,4,15,"tetrahydrofolate metabolic process","BP"
"2910","GO:0006534",0.0015260014849448,0.999879010043882,4,16,"cysteine metabolic process","BP"
"2920","GO:0006545",0.00160865449255862,0.99993502363971,3,8,"glycine biosynthetic process","BP"
"6229","GO:0019369",0.00166212393603758,0.999641029646347,8,65,"arachidonic acid metabolic process","BP"
"5713","GO:0016628",0.00170952933292022,0.999792672525581,5,27,"oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor","MF"
"1989","GO:0004753",0.0017574469475465,0.99992675639525,3,8,"saccharopine dehydrogenase activity","MF"
"11785","GO:0046500",0.00190647022735182,0.999837325883575,4,17,"S-adenosylmethionine metabolic process","BP"
"12023","GO:0046982",0.00199195016350287,0.999117947239871,22,327,"protein heterodimerization activity","MF"
"8764","GO:0034399",0.00203479245267579,0.999363469960519,12,125,"nuclear periphery","CC"
"5721","GO:0016646",0.00208897908793212,0.999817181230448,4,17,"oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor","MF"
"10849","GO:0044212",0.00223431158232974,0.998961926093845,24,376,NA,NA
"9961","GO:0042136",0.00224156834056908,0.999628251463846,6,40,"neurotransmitter biosynthetic process","BP"
"4285","GO:0009310",0.00234177363828054,0.999691940602549,5,29,"amine catabolic process","BP"
"10079","GO:0042402",0.00234177363828054,0.999691940602549,5,29,"cellular biogenic amine catabolic process","BP"
"395","GO:0001067",0.00241073501847766,0.99887315940222,24,378,"transcription regulatory region nucleic acid binding","MF"
"5826","GO:0016838",0.00249876101338965,0.999975320011823,2,3,"carbon-oxygen lyase activity, acting on phosphates","MF"
"4125","GO:0009085",0.00249942971402257,0.999876480816112,3,9,"lysine biosynthetic process","BP"
"6370","GO:0019878",0.00249942971402257,0.999876480816112,3,9,"lysine biosynthetic process via aminoadipic acid","BP"
"9","GO:0000019",0.00253436251334098,0.999887120995913,3,7,"regulation of mitotic recombination","BP"
"3064","GO:0006730",0.0025593096447562,0.999760537861175,4,18,"one-carbon metabolic process","BP"
"13587","GO:0055114",0.00266371285129962,0.998531702099548,37,688,NA,NA
"9958","GO:0042133",0.00277393248480604,0.999274856333437,9,83,"neurotransmitter metabolic process","BP"
"5712","GO:0016627",0.00285799955860814,0.999404735950303,7,58,"oxidoreductase activity, acting on the CH-CH group of donors","MF"
"2758","GO:0006303",0.00299071711545804,0.999376739814057,7,52,"double-strand break repair via nonhomologous end joining","BP"
"11783","GO:0046498",0.00319477515157538,0.999821754188427,3,10,"S-adenosylhomocysteine metabolic process","BP"
"10958","GO:0044427",0.00355137444896372,0.998060422568229,34,581,NA,NA
"2404","GO:0005739",0.00360142158619714,0.997792645317676,51,1074,"mitochondrion","CC"
"11557","GO:0045944",0.00376890119881292,0.997895288651029,36,651,"positive regulation of transcription by RNA polymerase II","BP"
"16447","GO:0097154",0.00389299789028202,0.999760700920505,3,11,"GABAergic neuron differentiation","BP"
"13072","GO:0051280",0.00393094702223045,0.999757524306176,3,11,"negative regulation of release of sequestered calcium ion into cytosol","BP"
"13076","GO:0051284",0.00393094702223045,0.999757524306176,3,11,"positive regulation of sequestering of calcium ion","BP"
"11754","GO:0046456",0.00416815208827639,0.999068158326578,7,60,"icosanoid biosynthetic process","BP"
"4114","GO:0009070",0.00423716571828349,0.999532134625212,4,21,"serine family amino acid biosynthetic process","BP"
"4378","GO:0009650",0.00429793309633515,0.999530572586732,4,19,"UV protection","BP"
"6352","GO:0019842",0.00440469940427454,0.999003257793941,7,62,"vitamin binding","MF"
"6421","GO:0020027",0.00443601174748772,0.999721499007221,3,10,"hemoglobin metabolic process","BP"
"16785","GO:0098687",0.00461077536010114,0.9980514054628,17,227,"chromosomal region","CC"
"5583","GO:0016363",0.00473500250655148,0.998653181985013,9,88,"nuclear matrix","CC"
"6454","GO:0021539",0.00477082750636629,0.999907294348409,2,4,"subthalamus development","BP"
"2795","GO:0006366",0.00484753232030514,0.997562826401035,25,427,"transcription by RNA polymerase II","BP"
"10804","GO:0044026",0.00504897640453506,0.999928200347695,2,3,"DNA hypermethylation","BP"
"366","GO:0000980",0.00505530602615122,0.998992843081814,6,50,NA,NA
"1449","GO:0003705",0.00506957838334663,0.998667744510835,8,83,NA,NA
"9404","GO:0035666",0.00509084721695443,0.999655274907231,3,11,"TRIF-dependent toll-like receptor signaling pathway","BP"
"13692","GO:0060126",0.00515311173118018,0.999895778624011,2,4,"somatotropin secreting cell differentiation","BP"
"7073","GO:0030578",0.00521028880239679,0.999924680071172,2,3,"PML body organization","BP"
"13981","GO:0060577",0.00554051837405271,0.999883640707343,2,4,"pulmonary vein morphogenesis","BP"
"10116","GO:0042464",0.00557019422412334,0.999916617208361,2,3,"dosage compensation by hypoactivation of X chromosome","BP"
"14129","GO:0060841",0.00567146501966823,0.999592320686943,3,12,"venous blood vessel development","BP"
"256","GO:0000726",0.00568866062968923,0.998655751329732,7,58,NA,NA
"8389","GO:0033189",0.00570746580794371,0.999597153728986,3,11,"response to vitamin A","BP"
"11160","GO:0045132",0.00573056910624869,0.998322785752114,9,86,"meiotic chromosome segregation","BP"
"8519","GO:0033615",0.00596641354005202,0.999869771152772,2,4,"mitochondrial proton-transporting ATP synthase complex assembly","BP"
"1447","GO:0003697",0.00597610623733478,0.998233022842257,9,93,"single-stranded DNA binding","MF"
"3937","GO:0008453",0.00612649124471953,0.999864419311496,2,4,"alanine-glyoxylate transaminase activity","MF"
"8486","GO:0033559",0.0062198515317322,0.998309866777643,8,81,"unsaturated fatty acid metabolic process","BP"
"5964","GO:0017144",0.00626855984045102,0.99665054543122,28,506,NA,NA
"4601","GO:0010523",0.00630921107558097,0.999520601450996,3,13,"negative regulation of calcium ion transport into cytosol","BP"
"2381","GO:0005694",0.00643066325413936,0.996224919689089,38,695,"chromosome","CC"
"19818","GO:2000371",0.00681903048354907,0.999475830565349,3,12,"regulation of DNA topoisomerase (ATP-hydrolyzing) activity","BP"
"19819","GO:2000373",0.00681903048354907,0.999475830565349,3,12,"positive regulation of DNA topoisomerase (ATP-hydrolyzing) activity","BP"
"14781","GO:0070306",0.00685390961302237,0.998812487518612,5,36,"lens fiber cell differentiation","BP"
"5528","GO:0016272",0.00700418110251106,0.999807469209851,2,5,"prefoldin complex","CC"
"2361","GO:0005667",0.00750653907533742,0.996848170010169,15,222,"transcription regulator complex","CC"
"17605","GO:1901605",0.00753023350159509,0.996946400529169,14,204,"alpha-amino acid metabolic process","BP"
"10102","GO:0042439",0.00792247900791698,0.998935816528923,4,24,"ethanolamine-containing compound metabolic process","BP"
"19742","GO:2000254",0.00804669123121795,0.999762197237891,2,5,"regulation of male germ cell proliferation","BP"
"399","GO:0001077",0.00818508449678458,0.997075462726227,11,146,NA,NA
"19150","GO:1905459",0.00841336248069334,0.999301526525257,3,12,"regulation of vascular associated smooth muscle cell apoptotic process","BP"
"18683","GO:1904354",0.00862547631860353,0.999291871781592,3,11,"negative regulation of telomere capping","BP"
"11384","GO:0045646",0.00877574126792337,0.998381702680763,5,37,"regulation of erythrocyte differentiation","BP"
"7723","GO:0031996",0.00881967970680042,0.998767115044862,4,26,"thioesterase binding","MF"
"11549","GO:0045934",0.00896236901677613,0.994331507232597,47,959,"negative regulation of nucleobase-containing compound metabolic process","BP"
"10156","GO:0042558",0.00896914736135576,0.9983271216155,5,40,"pteridine-containing compound metabolic process","BP"
"10623","GO:0043461",0.00929726624650549,0.999703643844259,2,5,"proton-transporting ATP synthase complex assembly","BP"
"9777","GO:0038001",0.00948554694561907,0.999694444063478,2,5,"paracrine signaling","BP"
"56","GO:0000122",0.00949709179393305,0.994643725202654,30,562,"negative regulation of transcription by RNA polymerase II","BP"
"3870","GO:0008336",0.0096630376715566,0.999685681757304,2,5,"gamma-butyrobetaine dioxygenase activity","MF"
