"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat"
"1","zf-H2C2",1.10715614734975e-06,0.999999873449963,11,44
"2","rve",4.29866729175686e-06,0.999998799178523,22,163
"3","bZIP_Maf",2.90992451594021e-05,0.999998876390224,5,11
"4","Maf_N",0.000214873109400451,0.999991752578438,4,9
"5","DUF1759",0.00036781334812356,0.999950790818963,7,27
"6","Peptidase_A17",0.000413084984742117,0.999943631623635,7,27
"7","DUF1758",0.000447813393758897,0.99998053850744,4,8
"8","FAO_M",0.000653492940109692,0.999986195728146,3,5
"9","Asp_protease_2",0.000722620638031839,0.999909509209655,6,25
"10","VCBS",0.0015673728580475,1,2,2
"11","zf-TRAF",0.0017399042938577,0.999623245257851,8,58
"12","GCV_T",0.00204273797879801,0.999915617818982,3,7
"13","GCV_T_C",0.00204273797879801,0.999915617818982,3,7
"14","Kunitz_BPTI",0.00207190858225262,0.999823345816805,4,15
"15","Ets",0.00212164427683122,0.999817908663713,4,15
"16","DAO",0.00236398734611208,0.999790904947629,4,15
"17","zf-C3HC4",0.0023804529901745,0.999394686505324,9,72
"18","Pyridoxal_deC",0.00257822332896817,0.999884261435985,3,7
"19","Dyp_perox",0.00366650924468583,1,2,2
"20","PFL-like",0.00366650924468583,1,2,2
"21","CBAH",0.00412725210544956,0.999755422901434,3,9
"22","BTG",0.00414082481367526,0.999946820626831,2,3
"23","ERCC4",0.00426921817783821,0.99975510682286,3,8
"24","AlaDh_PNT_C",0.00459204934016475,0.999717172393276,3,9
"25","AlaDh_PNT_N",0.00459204934016475,0.999717172393276,3,9
"26","Formyl_trans_C",0.00481671128241866,0.999933076693019,2,3
"27","Lipoxygenase",0.00683221470431024,0.999153759711634,4,18
"28","Rdx",0.0077397458091552,0.999806205657816,2,4
"29","IRF-3",0.00833027556926789,0.999783217592967,2,4
"30","Pax7",0.00854903187417249,0.999774475249015,2,4
"31","DMA",0.00864735682337354,0.999770506518877,2,4
"32","Formyl_trans_N",0.0102239678904222,0.99970364045216,2,4
"33","Homeobox",0.0103758715823127,0.996389487681975,10,112
"34","Prefoldin_2",0.0127712592210462,0.99951815199652,2,5
"35","CBM_21",0.0131513840526318,0.999496043963873,2,5
"36","DUF2475",0.0132689431110847,0.99948913607737,2,5
"37","IRF",0.0135797968996292,0.999470710532923,2,5
"38","Spond_N",0.0136892506458795,0.999464167991107,2,5
"39","VWA_2",0.0149794240500797,0.998486763825989,3,11
"40","An_peroxidase",0.0176475141395478,0.997006262111837,4,23
"41","TauD",0.0186086326897662,0.997830763438193,3,15
"42","Beta-lactamase",0.0209011466161464,0.998887275766585,2,6
"43","FAD_binding_7",0.0209559493263486,0.998970183271219,2,5
"44","zf-GRF",0.0209647908853194,0.998969514727558,2,5
"45","DUF4219",0.0248988174364495,0.99865694423592,2,5
"46","gag_pre-integrs",0.0248988174364495,0.99865694423592,2,5
"47","Retrotran_gag_2",0.0248988174364495,0.99865694423592,2,5
