"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat"
"4743","zf-H2C2",1.10715614734975e-06,0.999999873449963,11,44
"3758","rve",4.29866729175686e-06,0.999998799178523,22,163
"485","bZIP_Maf",2.90992451594021e-05,0.999998876390224,5,11
"2397","Maf_N",0.000214873109400451,0.999991752578438,4,9
"1083","DUF1759",0.00036781334812356,0.999950790818963,7,27
"3051","Peptidase_A17",0.000413084984742117,0.999943631623635,7,27
"1082","DUF1758",0.000447813393758897,0.99998053850744,4,8
"1590","FAO_M",0.000653492940109692,0.999986195728146,3,5
"302","Asp_protease_2",0.000722620638031839,0.999909509209655,6,25
"4574","VCBS",0.0015673728580475,1,2,2
"4779","zf-TRAF",0.0017399042938577,0.999623245257851,8,58
"1787","GCV_T",0.00204273797879801,0.999915617818982,3,7
"1788","GCV_T_C",0.00204273797879801,0.999915617818982,3,7
"2268","Kunitz_BPTI",0.00207190858225262,0.999823345816805,4,15
"1521","Ets",0.00212164427683122,0.999817908663713,4,15
"878","DAO",0.00236398734611208,0.999790904947629,4,15
"4713","zf-C3HC4",0.0023804529901745,0.999394686505324,9,72
"3383","Pyridoxal_deC",0.00257822332896817,0.999884261435985,3,7
"1374","Dyp_perox",0.00366650924468583,1,2,2
"3125","PFL-like",0.00366650924468583,1,2,2
"555","CBAH",0.00412725210544956,0.999755422901434,3,9
"477","BTG",0.00414082481367526,0.999946820626831,2,3
"1496","ERCC4",0.00426921817783821,0.99975510682286,3,8
"170","AlaDh_PNT_C",0.00459204934016475,0.999717172393276,3,9
"171","AlaDh_PNT_N",0.00459204934016475,0.999717172393276,3,9
"1688","Formyl_trans_C",0.00481671128241866,0.999933076693019,2,3
"2341","Lipoxygenase",0.00683221470431024,0.999153759711634,4,18
"3452","Rdx",0.0077397458091552,0.999806205657816,2,4
"2200","IRF-3",0.00833027556926789,0.999783217592967,2,4
"3006","Pax7",0.00854903187417249,0.999774475249015,2,4
"957","DMA",0.00864735682337354,0.999770506518877,2,4
"1689","Formyl_trans_N",0.0102239678904222,0.99970364045216,2,4
"2081","Homeobox",0.0103758715823127,0.996389487681975,10,112
"3287","Prefoldin_2",0.0127712592210462,0.99951815199652,2,5
"567","CBM_21",0.0131513840526318,0.999496043963873,2,5
"1137","DUF2475",0.0132689431110847,0.99948913607737,2,5
"2198","IRF",0.0135797968996292,0.999470710532923,2,5
"4004","Spond_N",0.0136892506458795,0.999464167991107,2,5
"4619","VWA_2",0.0149794240500797,0.998486763825989,3,11
"217","An_peroxidase",0.0176475141395478,0.997006262111837,4,23
"4146","TauD",0.0186086326897662,0.997830763438193,3,15
"412","Beta-lactamase",0.0209011466161464,0.998887275766585,2,6
"1555","FAD_binding_7",0.0209559493263486,0.998970183271219,2,5
"4742","zf-GRF",0.0209647908853194,0.998969514727558,2,5
"1223","DUF4219",0.0248988174364495,0.99865694423592,2,5
"1750","gag_pre-integrs",0.0248988174364495,0.99865694423592,2,5
"3478","Retrotran_gag_2",0.0248988174364495,0.99865694423592,2,5
"3761","RVT_2",0.0248988174364495,0.99865694423592,2,5
"3785","SAM_PNT",0.0273031953675456,0.998231193173101,2,7
"1357","DUF971",0.0277815237197479,0.998183207626939,2,7
"956","DM",0.0279224572097388,0.998168980991263,2,7
"3005","PAX",0.0280574504299588,0.998155316448721,2,7
"970","DNA_photolyase",0.0287179963465924,0.99818494500706,2,6
"4581","VHP",0.0289724543634606,0.998160055910726,2,6
"1491","EPTP",0.0301068882675182,0.998047606178989,2,6
"4344","TRAF_BIRC3_bd",0.0312664922428638,0.995438010659464,3,18
"312","ATG_C",0.0319269858055687,0.99829047286486,2,4
"2149","IgGFc_binding",0.0323682474958267,0.997816306378751,2,6
"484","bZIP_2",0.034509937486279,0.997366912159736,2,8
"1834","Glutaredoxin",0.0348502791756992,0.997326662624877,2,8
"3898","ShK",0.0354037148853147,0.990514158300586,5,47
"3937","SMC_hinge",0.0354669440104225,0.997678402013505,2,5
"227","Anemone_cytotox",0.0371409358177262,1,1,1
"3553","Ribosomal_L27",0.0372565133356399,1,1,1
"4691","YscW",0.0372565133356399,1,1,1
"2551","MIOX",0.0373250432016523,1,1,1
"1064","DUF1619",0.0374228633575626,1,1,1
"4506","UPF0172",0.0375849864339914,1,1,1
"2913","Orai-1",0.0376928350589714,1,1,1
"2904","ODC_AZ",0.0378191089632099,1,1,1
