"","X","gene_id","GOs","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term.x","ontology","bh_adjust","A","B","C","D","E","F","G","H","L","M","N","term.y","GOSlim_bin","aspect","log_over_represented_pvalue"
"1",2432,"Pocillopora_acuta_HIv2___TS.g26760.t1","GO:0006265",0.0366865694088054,0.997109326422185,2,8,"DNA topological change","BP",1,23962,2490,667,955,3259,2892,1940,4120,14424,3624,11643,"DNA topological change","DNA metabolism","P",1.43549289757857
"2",1264,"Pocillopora_acuta_HIv2___TS.g23786.t1","GO:0006351",0.045756727081487,0.971861842935322,25,518,"DNA-templated transcription","BP",1,936,552,111,128,133,421,214,164,2395,240,2400,"transcription, DNA-dependent","RNA metabolism","P",1.33954504761723
"3",1841,"Pocillopora_acuta_HIv2___RNAseq.g22884.t1","GO:0006351",0.045756727081487,0.971861842935322,25,518,"DNA-templated transcription","BP",1,2745,274,88,176,159,263,385,117,6231,179,2542,"transcription, DNA-dependent","RNA metabolism","P",1.33954504761723
"4",1280,"Pocillopora_acuta_HIv2___TS.g23786.t1","GO:0045892",0.0372747579594785,0.975632069604224,35,747,"negative regulation of DNA-templated transcription","BP",1,936,552,111,128,133,421,214,164,2395,240,2400,"negative regulation of transcription, DNA-dependent","RNA metabolism","P",1.42858516792069
"5",1868,"Pocillopora_acuta_HIv2___RNAseq.g22884.t1","GO:0045892",0.0372747579594785,0.975632069604224,35,747,"negative regulation of DNA-templated transcription","BP",1,2745,274,88,176,159,263,385,117,6231,179,2542,"negative regulation of transcription, DNA-dependent","RNA metabolism","P",1.42858516792069
"6",1265,"Pocillopora_acuta_HIv2___TS.g23786.t1","GO:0006355",0.0344505774365539,0.974687696073815,70,1622,"regulation of DNA-templated transcription","BP",1,936,552,111,128,133,421,214,164,2395,240,2400,"regulation of transcription, DNA-dependent","RNA metabolism","P",1.46280349435411
"7",1842,"Pocillopora_acuta_HIv2___RNAseq.g22884.t1","GO:0006355",0.0344505774365539,0.974687696073815,70,1622,"regulation of DNA-templated transcription","BP",1,2745,274,88,176,159,263,385,117,6231,179,2542,"regulation of transcription, DNA-dependent","RNA metabolism","P",1.46280349435411
"8",2385,"Pocillopora_acuta_HIv2___RNAseq.3335_t","GO:0006355",0.0344505774365539,0.974687696073815,70,1622,"regulation of DNA-templated transcription","BP",1,2892,577,2002,938,263,427,1875,117,13222,317,4773,"regulation of transcription, DNA-dependent","RNA metabolism","P",1.46280349435411
"9",2433,"Pocillopora_acuta_HIv2___TS.g26760.t1","GO:0006355",0.0344505774365539,0.974687696073815,70,1622,"regulation of DNA-templated transcription","BP",1,23962,2490,667,955,3259,2892,1940,4120,14424,3624,11643,"regulation of transcription, DNA-dependent","RNA metabolism","P",1.46280349435411
"10",1287,"Pocillopora_acuta_HIv2___TS.g23786.t1","GO:0051253",0.0153893749846469,0.990292542218384,40,821,"negative regulation of RNA metabolic process","BP",1,936,552,111,128,133,421,214,164,2395,240,2400,"negative regulation of RNA metabolic process","RNA metabolism","P",1.81277901800029
"11",1875,"Pocillopora_acuta_HIv2___RNAseq.g22884.t1","GO:0051253",0.0153893749846469,0.990292542218384,40,821,"negative regulation of RNA metabolic process","BP",1,2745,274,88,176,159,263,385,117,6231,179,2542,"negative regulation of RNA metabolic process","RNA metabolism","P",1.81277901800029
"12",1288,"Pocillopora_acuta_HIv2___TS.g23786.t1","GO:0051254",0.0151268192096519,0.990167354963375,46,954,"positive regulation of RNA metabolic process","BP",1,936,552,111,128,133,421,214,164,2395,240,2400,"positive regulation of RNA metabolic process","RNA metabolism","P",1.82025238360424
"13",1876,"Pocillopora_acuta_HIv2___RNAseq.g22884.t1","GO:0051254",0.0151268192096519,0.990167354963375,46,954,"positive regulation of RNA metabolic process","BP",1,2745,274,88,176,159,263,385,117,6231,179,2542,"positive regulation of RNA metabolic process","RNA metabolism","P",1.82025238360424
"14",2447,"Pocillopora_acuta_HIv2___TS.g26760.t1","GO:0051254",0.0151268192096519,0.990167354963375,46,954,"positive regulation of RNA metabolic process","BP",1,23962,2490,667,955,3259,2892,1940,4120,14424,3624,11643,"positive regulation of RNA metabolic process","RNA metabolism","P",1.82025238360424
"15",1281,"Pocillopora_acuta_HIv2___TS.g23786.t1","GO:0045893",0.0136966899660744,0.991331306530152,42,850,"positive regulation of DNA-templated transcription","BP",1,936,552,111,128,133,421,214,164,2395,240,2400,"positive regulation of transcription, DNA-dependent","RNA metabolism","P",1.86338437467982
"16",1869,"Pocillopora_acuta_HIv2___RNAseq.g22884.t1","GO:0045893",0.0136966899660744,0.991331306530152,42,850,"positive regulation of DNA-templated transcription","BP",1,2745,274,88,176,159,263,385,117,6231,179,2542,"positive regulation of transcription, DNA-dependent","RNA metabolism","P",1.86338437467982
"17",2444,"Pocillopora_acuta_HIv2___TS.g26760.t1","GO:0045893",0.0136966899660744,0.991331306530152,42,850,"positive regulation of DNA-templated transcription","BP",1,23962,2490,667,955,3259,2892,1940,4120,14424,3624,11643,"positive regulation of transcription, DNA-dependent","RNA metabolism","P",1.86338437467982
"18",1247,"Pocillopora_acuta_HIv2___TS.g23786.t1","GO:0000122",0.00949709179393305,0.994643725202654,30,562,"negative regulation of transcription by RNA polymerase II","BP",1,936,552,111,128,133,421,214,164,2395,240,2400,"negative regulation of transcription from RNA polymerase II promoter","RNA metabolism","P",2.02240936431205
"19",1821,"Pocillopora_acuta_HIv2___RNAseq.g22884.t1","GO:0000122",0.00949709179393305,0.994643725202654,30,562,"negative regulation of transcription by RNA polymerase II","BP",1,2745,274,88,176,159,263,385,117,6231,179,2542,"negative regulation of transcription from RNA polymerase II promoter","RNA metabolism","P",2.02240936431205
"20",1266,"Pocillopora_acuta_HIv2___TS.g23786.t1","GO:0006366",0.00484753232030514,0.997562826401035,25,427,"transcription by RNA polymerase II","BP",1,936,552,111,128,133,421,214,164,2395,240,2400,"transcription from RNA polymerase II promoter","RNA metabolism","P",2.31447928663639
