"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
945 0.0145994069435186 2 35 "GO:0000002" "mitochondrial genome maintenance" 0.130328039153328
249 9.95377107184455e-05 -1 1589 "GO:0000003;GO:0022414" "obsolete reproduction" 0.00280667631424848
3267 2.57015072915063e-07 4 13 "GO:0000012" "single strand break repair" 1.47783666926161e-05
1319 1.65754206215205e-05 4 56 "GO:0000018" "regulation of DNA recombination" 0.000568507847632852
1433 0.0972198616600307 5 7 "GO:0000019" "regulation of mitotic recombination" 0.391917999280308
1347 0.0151829180314705 2 17 "GO:0000022;GO:0051231" "spindle elongation" 0.132603666250568
385 0.381768333734799 3 27 "GO:0000027" "ribosomal large subunit assembly" 0.725736940558418
551 0.320682197121701 2 17 "GO:0000028" "ribosomal small subunit assembly" 0.677258751689583
-1073 0.0464621390294739 4 18 "GO:0000038" "very long-chain fatty acid metabolic process" 0.263953325700145
-826 0.00171621369680627 3 76 "GO:0000041" "transition metal ion transport" 0.0285144287018945
-742 0.0220705067163287 2 50 "GO:0000045;GO:1905037" "autophagosome organization" 0.166593979268041
247 0.760155531288189 2 8 "GO:0000050;GO:0019627;GO:0071941" "urea metabolic process" 0.930885912877447
-53 0.955162329246899 2 6 "GO:0000052" "citrulline metabolic process" 0.989742139031198
586 0.321195252366249 4 15 "GO:0000054;GO:0033750;GO:0071428" "obsolete rRNA-containing ribonucleoprotein complex export from nucleus" 0.677258751689583
1015 0.182711135507453 5 9 "GO:0000055" "ribosomal large subunit export from nucleus" 0.528663448323242
103 0.91181283996193 7 6 "GO:0000056" "ribosomal small subunit export from nucleus" 0.976596121871918
572 0.230539796158875 -1 23 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.588002929615286
1664 0.00113841430235935 7 20 "GO:0000076" "DNA replication checkpoint signaling" 0.0206074070473382
1302 2.36690551543611e-11 2 140 "GO:0000077;GO:0031570;GO:0042770" "signal transduction in response to DNA damage" 3.01780453218104e-09
706 0.0278185400969248 2 51 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.191947926668781
1026 1.51390940184453e-05 5 94 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.000531681355797495
2116 0.00013572475820608 -1 17 "GO:0000083" "obsolete regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.00375483823999368
912 0.000578481778098589 2 75 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.0122483596698492
-1029 0.00257983775891369 2 45 "GO:0000096" "sulfur amino acid metabolic process" 0.0394029907709083
-609 0.211522576948282 2 22 "GO:0000097;GO:0009086" "sulfur amino acid biosynthetic process" 0.56287654891183
-1238 0.0303094065399476 3 16 "GO:0000098" "sulfur amino acid catabolic process" 0.202235118722176
-2080 0.00161940910915949 2 12 "GO:0000101;GO:0015811" "sulfur amino acid transport" 0.0272926276586793
1568 0.0929466600369089 3 6 "GO:0000103" "sulfate assimilation" 0.380944906440581
-994 0.249739529359611 2 7 "GO:0000105;GO:0009073" "aromatic amino acid family biosynthetic process" 0.606761532599055
515 6.61359739695367e-07 2 521 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 3.55860080120489e-05
-359 0.210582678338195 2 64 "GO:0000132;GO:0051294" "establishment of spindle orientation" 0.561394276569779
49 0.912867155936281 2 26 "GO:0000154" "rRNA modification" 0.977001071088739
74 0.658554610255336 2 193 "GO:0000165" "MAPK cascade" 0.891191229614108
1296 0.133594777931011 2 7 "GO:0000183" "rDNA heterochromatin formation" 0.460631024435849
696 0.00701505044900777 3 79 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.0780707227389574
-558 0.4181890837696 -1 11 "GO:0000185" "obsolete activation of MAPKKK activity" 0.7537622775579
-447 0.229159068161835 -1 38 "GO:0000186" "obsolete activation of MAPKK activity" 0.586395259497889
-97 0.688003269300759 -1 91 "GO:0000187" "obsolete activation of MAPK activity" 0.904804610172553
746 0.258101906674061 -1 12 "GO:0000188" "obsolete inactivation of MAPK activity" 0.61423927010527
225 0.165410047567932 9 204 "GO:0000209" "protein polyubiquitination" 0.506029621176676
-463 0.149102916958619 2 51 "GO:0000212" "meiotic spindle organization" 0.4858270044235
-20 0.860367558817507 2 413 "GO:0000226" "microtubule cytoskeleton organization" 0.96126850656887
-46 0.946558487294059 4 11 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.987233739018618
1584 2.34826494244502e-07 2 56 "GO:0000245" "spliceosomal complex assembly" 1.36362117697426e-05
38 0.946852768264115 2 16 "GO:0000266" "mitochondrial fission" 0.987233739018618
-172 0.706815202776128 4 25 "GO:0000272;GO:0005980;GO:0009251;GO:0044247" "polysaccharide catabolic process" 0.910290278947823
782 2.24757013502193e-09 2 318 "GO:0000280;GO:0048285" "organelle fission" 1.83083317248661e-07
198 0.382624181905845 2 103 "GO:0000281" "mitotic cytokinesis" 0.725736940558418
-125 0.688820914448449 4 54 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.904804610172553
336 0.522415141896106 3 19 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.818366668595262
-324 0.671101947347739 5 9 "GO:0000290;GO:0110156;GO:0110154" "RNA decapping" 0.897529609797813
50 0.896363651530099 -1 35 "GO:0000291;GO:0043928" "obsolete nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.973550521522969
102 0.571307964095558 2 163 "GO:0000302" "response to reactive oxygen species" 0.847022491787804
-250 0.643349398718744 6 18 "GO:0000303;GO:0000305" "response to oxygen radical" 0.883770835461059
