"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
978 0.011889426767762 2 37 "GO:0000002" "mitochondrial genome maintenance" 0.15148836498528
30 0.640448568251504 -1 1654 "GO:0000003;GO:0022414" "obsolete reproduction" 0.875953660858198
3245 7.32991021683708e-07 4 13 "GO:0000012" "single strand break repair" 8.16247737731556e-05
825 0.00799509986818989 4 58 "GO:0000018" "regulation of DNA recombination" 0.117089527101878
810 0.364398017661331 5 7 "GO:0000019" "regulation of mitotic recombination" 0.733769055010978
587 0.305781942832542 2 17 "GO:0000022;GO:0051231" "spindle elongation" 0.687776305868012
644 0.157129906094834 3 27 "GO:0000027" "ribosomal large subunit assembly" 0.5306676396833
1022 0.0746314541965544 2 17 "GO:0000028" "ribosomal small subunit assembly" 0.393063501936724
-1440 0.00975109618212262 4 18 "GO:0000038" "very long-chain fatty acid metabolic process" 0.136700640538926
-582 0.0302438758356814 3 78 "GO:0000041" "transition metal ion transport" 0.251407542510129
-293 0.376816122331939 2 51 "GO:0000045;GO:1905037" "autophagosome organization" 0.742312668225335
-541 0.51688946302546 2 8 "GO:0000050;GO:0019627;GO:0071941" "urea metabolic process" 0.8213049511342
-1101 0.253564670893375 2 6 "GO:0000052" "citrulline metabolic process" 0.636431605819155
193 0.751832111486893 4 15 "GO:0000054;GO:0033750;GO:0071428" "obsolete rRNA-containing ribonucleoprotein complex export from nucleus" 0.922448698008194
502 0.523591361034309 5 9 "GO:0000055" "ribosomal large subunit export from nucleus" 0.82433455401445
-972 0.31353634381468 7 6 "GO:0000056" "ribosomal small subunit export from nucleus" 0.692658799672
239 0.627963237206511 -1 23 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.870622275309567
871 3.14295411410294e-06 5 163 "GO:0000075;GO:0007093" "cell cycle checkpoint signaling" 0.000272789929138758
1066 0.0436374309700565 7 20 "GO:0000076" "DNA replication checkpoint signaling" 0.305336288441377
624 0.00171909986767371 2 143 "GO:0000077;GO:0031570;GO:0042770" "signal transduction in response to DNA damage" 0.0428106642152331
408 0.214008658132529 2 52 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.596354627147397
583 0.0173626379471317 5 94 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.188718764574533
1344 0.018995871443177 -1 17 "GO:0000083" "obsolete regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.199846048587577
470 0.0863936163329712 2 75 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.417955691670175
-1312 0.000200266268144869 2 45 "GO:0000096" "sulfur amino acid metabolic process" 0.00809569530541792
-1213 0.0160716672240279 2 22 "GO:0000097;GO:0009086" "sulfur amino acid biosynthetic process" 0.18102095411491
-1263 0.0325334396082734 3 16 "GO:0000098" "sulfur amino acid catabolic process" 0.261865570015594
-2275 0.000848666202898486 2 12 "GO:0000101;GO:0015811" "sulfur amino acid transport" 0.0256862970743942
1759 0.068012648622719 3 6 "GO:0000103" "sulfate assimilation" 0.376204922372341
-1406 0.115227494751198 2 7 "GO:0000105;GO:0009073" "aromatic amino acid family biosynthetic process" 0.47260088535203
506 1.12163875785543e-06 2 554 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.000116138806120399
-489 0.09644796447507 2 65 "GO:0000132;GO:0051294" "establishment of spindle orientation" 0.437106819667182
-669 0.149189044216562 2 26 "GO:0000154" "rRNA modification" 0.517644761296972
-57 0.736468974815957 2 198 "GO:0000165" "MAPK cascade" 0.918174881572408
1246 0.162749268267552 2 7 "GO:0000183" "rDNA heterochromatin formation" 0.539697072628917
892 0.000833529247492534 3 79 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.0253581939108296
-271 0.703343532492929 -1 11 "GO:0000185" "obsolete activation of MAPKKK activity" 0.907179411451502
-500 0.192541953200719 -1 38 "GO:0000186" "obsolete activation of MAPKK activity" 0.572196680659941
-178 0.47243091690131 -1 92 "GO:0000187" "obsolete activation of MAPK activity" 0.800992412417166
722 0.270544336009309 -1 13 "GO:0000188" "obsolete inactivation of MAPK activity" 0.654223341771424
122 0.466597717210528 9 204 "GO:0000209" "protein polyubiquitination" 0.797474511558262
-785 0.0168740181515906 2 52 "GO:0000212" "meiotic spindle organization" 0.186498979645483
-259 0.028263779926081 2 420 "GO:0000226" "microtubule cytoskeleton organization" 0.246833637882186
-22 0.975172387193012 4 11 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.991467257401061
1605 3.97099193610535e-07 2 56 "GO:0000245" "spliceosomal complex assembly" 4.78301926671302e-05
-7 0.989977354269758 2 16 "GO:0000266" "mitochondrial fission" 0.997598843375523
-47 0.92115373835316 4 25 "GO:0000272;GO:0005980;GO:0009251;GO:0044247" "polysaccharide catabolic process" 0.975533709628629
421 0.00153476792686441 2 328 "GO:0000280;GO:0048285" "organelle fission" 0.0395554598443395
-289 0.214708054414626 2 104 "GO:0000281" "mitotic cytokinesis" 0.597739121299586
-333 0.301652185830488 4 54 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.684741463462702
-13 0.981098476121087 3 19 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.994042302841725
-1120 0.154798769776417 5 9 "GO:0000290;GO:0110156;GO:0110154" "RNA decapping" 0.52605760033634
-84 0.834397050308992 -1 35 "GO:0000291;GO:0043928" "obsolete nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.951704975284288
304 0.773384245972193 2 5 "GO:0000301" "retrograde transport, vesicle recycling within Golgi" 0.930394174424762
129 0.484333964014563 2 167 "GO:0000302" "response to reactive oxygen species" 0.807771610036821
325 0.548324698357389 6 19 "GO:0000303;GO:0000305" "response to oxygen radical" 0.834036653792445
-438 0.67861778196557 2 5 "GO:0000320" "re-entry into mitotic cell cycle" 0.895217288592042
