"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
450 0.250275593158136 2 37 "GO:0000002" "mitochondrial genome maintenance" 0.58475604026895
382 4.55320421043906e-09 -1 1668 "GO:0000003;GO:0022414" "obsolete reproduction" 6.26542077050417e-07
448 0.497128152812396 4 13 "GO:0000012" "single strand break repair" 0.774696001437208
995 0.00146496897853114 4 58 "GO:0000018" "regulation of DNA recombination" 0.0277827610447717
1809 0.0438707314984115 5 7 "GO:0000019" "regulation of mitotic recombination" 0.25020347672158
1831 0.00149166938739578 2 17 "GO:0000022;GO:0051231" "spindle elongation" 0.0281987468537407
-334 0.465540669853679 3 27 "GO:0000027" "ribosomal large subunit assembly" 0.753067585232578
-711 0.217213338283705 2 17 "GO:0000028" "ribosomal small subunit assembly" 0.547076470528728
692 0.21693881311396 4 18 "GO:0000038" "very long-chain fatty acid metabolic process" 0.547076470528728
-233 0.387696261231367 3 78 "GO:0000041" "transition metal ion transport" 0.697900449560693
-494 0.138744268117903 2 51 "GO:0000045;GO:1905037" "autophagosome organization" 0.448116721863336
1534 0.0677522197704223 2 8 "GO:0000050;GO:0019627;GO:0071941" "urea metabolic process" 0.308614229700992
1635 0.0917303400723209 2 6 "GO:0000052" "citrulline metabolic process" 0.362570756317918
1163 0.0579791365150994 4 15 "GO:0000054;GO:0033750;GO:0071428" "obsolete rRNA-containing ribonucleoprotein complex export from nucleus" 0.286601963876226
1725 0.0293286131193799 5 9 "GO:0000055" "ribosomal large subunit export from nucleus" 0.199524910068407
2331 0.016217542557265 7 6 "GO:0000056" "ribosomal small subunit export from nucleus" 0.139071303349764
1571 0.00152719595468214 -1 23 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.028736775231455
1102 4.38477855580624e-09 5 163 "GO:0000075;GO:0007093" "cell cycle checkpoint signaling" 6.1773177892156e-07
1535 0.00388788077198906 7 20 "GO:0000076" "DNA replication checkpoint signaling" 0.0565223354492857
1298 9.0516373366385e-11 2 143 "GO:0000077;GO:0031570;GO:0042770" "signal transduction in response to DNA damage" 1.79241626739955e-08
931 0.00483657574824453 2 52 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.0649767563989107
1289 1.65113688246314e-07 5 94 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 1.33832560733348e-05
1894 0.00101796814914998 -1 17 "GO:0000083" "obsolete regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.0209142970087515
