"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
1951 0.00237770842273321 2 12 "GO:0000109" "nucleotide-excision repair complex" 0.0169359582391173
2015 0.0103607369883393 4 8 "GO:0000110;GO:0070522" "ERCC4-ERCC1 complex" 0.0534670559779455
152 0.670163071447226 3 39 "GO:0000118" "histone deacetylase complex" 0.830930377233236
302 0.217956009327176 4 83 "GO:0000123;GO:0031248;GO:1902493" "acetyltransferase complex" 0.434355625971437
412 0.488236499518656 2 14 "GO:0000124" "SAGA complex" 0.689474848015911
55 0.938081356281832 2 10 "GO:0000137" "Golgi cis cisterna" 0.980337273231464
-236 0.671337759867505 5 16 "GO:0000138" "Golgi trans cisterna" 0.830985153982339
-229 0.0650660815449647 2 335 "GO:0000139" "Golgi membrane" 0.20387515249091
159 0.850111152879306 2 7 "GO:0000145" "exocyst" 0.948200901288457
130 0.36135843311113 2 251 "GO:0000151" "ubiquitin ligase complex" 0.578664076473276
505 0.229695012870867 2 28 "GO:0000152" "nuclear ubiquitin ligase complex" 0.450512923795034
-848 0.205853160140641 2 11 "GO:0000153" "cytoplasmic ubiquitin ligase complex" 0.424438552655641
-65 0.926873154127664 2 10 "GO:0000159" "protein phosphatase type 2A complex" 0.977704442998999
-642 0.361378972226766 5 10 "GO:0000164" "protein phosphatase type 1 complex" 0.578664076473276
-934 0.303403393640033 2 6 "GO:0000172" "ribonuclease MRP complex" 0.539088743185354
-998 0.0930447512313872 2 14 "GO:0000176" "nuclear exosome (RNase complex)" 0.259630027491019
-556 0.386799430383637 2 12 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.604002187445218
-474 0.328595893222122 4 21 "GO:0000178;GO:1905354" "exoribonuclease complex" 0.555874719367423
-1202 0.185451916955963 3 6 "GO:0000221;GO:0033180" "vacuolar proton-transporting V-type ATPase, V1 domain" 0.401565217515312
1284 5.38476823556719e-25 2 334 "GO:0000228;GO:0044454" "nuclear chromosome" 7.2873863454676e-23
