"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
2004 0.00249621364145941 2 12 "GO:0000109" "nucleotide-excision repair complex" 0.0262912891327738
2450 0.00253513696590132 2 8 "GO:0000110;GO:0070522" "nucleotide-excision repair factor 1 complex" 0.0263589240941791
-230 0.53257853477917 2 39 "GO:0000118" "histone deacetylase complex" 0.777618849188954
108 0.667865076334076 4 84 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 0.877858309411565
361 0.556814789552136 3 14 "GO:0000124" "SAGA complex" 0.788156448474254
-54 0.941014247804535 2 10 "GO:0000137" "Golgi cis cisterna" 0.979669518574426
-47 0.934755542234567 2 16 "GO:0000138" "Golgi trans cisterna" 0.977900909184579
-241 0.0573979853155419 5 341 "GO:0000139" "Golgi membrane" 0.216510539957695
299 0.730804308526028 3 7 "GO:0000145" "exocyst" 0.90589483421711
109 0.440481241787817 2 271 "GO:0000151" "ubiquitin ligase complex" 0.7130345051695
181 0.676615437959776 3 28 "GO:0000152" "nuclear ubiquitin ligase complex" 0.883628877029536
-467 0.499602377869919 3 11 "GO:0000153" "cytoplasmic ubiquitin ligase complex" 0.759213762102604
97 0.894282088645157 2 10 "GO:0000159" "protein phosphatase type 2A complex" 0.969958767551526
-852 0.240425873799299 3 10 "GO:0000164" "protein phosphatase type 1 complex" 0.526987523381707
-1490 0.111694385912283 2 6 "GO:0000172" "ribonuclease MRP complex" 0.334064276817334
-1055 0.0855692784265682 3 14 "GO:0000176" "nuclear exosome (RNase complex)" 0.280354538968672
-913 0.151844201008892 2 13 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.408800303397686
-603 0.217936798193951 2 22 "GO:0000178;GO:1905354" "exoribonuclease complex" 0.49494106216551
-1054 0.260838833402701 2 6 "GO:0000221;GO:0033180" "vacuolar proton-transporting V-type ATPase, V1 domain" 0.548031849454898
935 1.13434615877698e-13 4 347 "GO:0000228;GO:0044454" "nuclear chromosome" 1.31422104966876e-11
613 0.398122536063065 8 10 "GO:0000235" "astral microtubule" 0.682616018492909
-211 0.740397593048888 2 13 "GO:0000242" "pericentriolar material" 0.910830910892061
1181 0.122638579267122 4 9 "GO:0000243" "commitment complex" 0.353096572023274
-259 0.781995775095041 3 6 "GO:0000275;GO:0045261" "mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)" 0.923339099799117
121 0.905860640406521 3 5 "GO:0000276;GO:0045263" "mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)" 0.969958767551526
856 0.0876700842318088 7 21 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.281384816786561
-233 0.44174655358515 7 58 "GO:0000313;GO:0005761" "mitochondrial ribosome" 0.713658276807882
129 0.797025193257789 4 21 "GO:0000314;GO:0005763" "mitochondrial small ribosomal subunit" 0.926056492452818
-383 0.31737250969761 4 36 "GO:0000315;GO:0005762" "organellar large ribosomal subunit" 0.611375547184707
-689 0.179606191105828 3 20 "GO:0000322;GO:0000324;GO:0000329" "storage vacuole" 0.445445324118736
-348 0.00103067797768172 2 499 "GO:0000323;GO:0005773;GO:0005764" "vacuole" 0.0146645585947346
397 0.624849942543386 2 8 "GO:0000346" "transcription export complex" 0.84318353311595
375 0.714732042663288 4 5 "GO:0000347;GO:0000445" "THO complex part of transcription export complex" 0.900074047515414
-181 0.704926348569725 2 23 "GO:0000407" "phagophore assembly site" 0.893461399054954
57 0.92071444974186 2 16 "GO:0000421" "autophagosome membrane" 0.973532488579724
534 0.53854466445828 3 7 "GO:0000439" "transcription factor TFIIH core complex" 0.780595086459534
