"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
26 0.96839255338478 3 12 "GO:0000109" "nucleotide-excision repair complex" 0.988739784096647
-434 0.595251432917464 4 8 "GO:0000110;GO:0070522" "nucleotide-excision repair factor 1 complex" 0.794967543798119
879 0.0175979861651152 3 39 "GO:0000118" "histone deacetylase complex" 0.0932464721476234
294 0.245292398372833 4 84 "GO:0000123;GO:0031248;GO:1902493" "acetyltransferase complex" 0.500396492680579
143 0.817062548757249 5 14 "GO:0000124" "SAGA complex" 0.909581227538766
-283 0.698013746623636 5 10 "GO:0000137" "Golgi cis cisterna" 0.853941854939861
-321 0.566596091152516 5 17 "GO:0000138" "Golgi trans cisterna" 0.775742299296062
3 0.982262824869949 2 343 "GO:0000139" "Golgi membrane" 0.993217428864781
-333 0.702539240642867 3 7 "GO:0000145" "exocyst" 0.85629563197401
241 0.0901302031804695 2 273 "GO:0000151" "ubiquitin ligase complex" 0.277533003000993
786 0.071944382585084 2 28 "GO:0000152" "nuclear ubiquitin ligase complex" 0.244610900789286
-795 0.253803713998939 2 11 "GO:0000153" "cytoplasmic ubiquitin ligase complex" 0.505667999297221
-95 0.896622929290348 2 10 "GO:0000159" "protein phosphatase type 2A complex" 0.952661862370995
-30 0.967349591328662 2 10 "GO:0000164" "protein phosphatase type 1 complex" 0.988739784096647
573 0.543161978976785 4 6 "GO:0000172" "ribonuclease MRP complex" 0.761711277084715
-339 0.582877753742267 3 14 "GO:0000176" "nuclear exosome (RNase complex)" 0.786736847786397
-140 0.8275942901979 2 13 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.917465589409487
-320 0.516345302877818 2 22 "GO:0000178;GO:1905354" "exoribonuclease complex" 0.747052778631737
-393 0.676627505448517 3 6 "GO:0000221;GO:0033180" "vacuolar proton-transporting V-type ATPase, V1 domain" 0.845385404237531
776 8.090294518563e-10 2 349 "GO:0000228;GO:0044454" "nuclear chromosome" 5.07821563626724e-08
-382 0.600445752285812 8 10 "GO:0000235" "astral microtubule" 0.796260310112889
333 0.60309104079967 2 13 "GO:0000242" "pericentriolar material" 0.796314383968496
-47 0.951306168267017 2 9 "GO:0000243" "commitment complex" 0.98426958620862
-952 0.312676578228474 4 6 "GO:0000275;GO:0045261" "proton-transporting ATP synthase complex, catalytic core F(1)" 0.566039210707197
-2334 0.0237606706794459 4 5 "GO:0000276;GO:0045263" "mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)" 0.111813515362809
818 0.104715003420006 3 21 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.304083426301512
-557 0.0669453423365919 4 58 "GO:0000313;GO:0005761" "organellar ribosome" 0.234485404530157
-1130 0.0250542713227783 5 21 "GO:0000314;GO:0005763" "organellar small ribosomal subunit" 0.115504437284673
-163 0.67175630671196 3 36 "GO:0000315;GO:0005762" "mitochondrial large ribosomal subunit" 0.843312532733784
-279 0.588868433784299 3 20 "GO:0000322;GO:0000324;GO:0000329" "storage vacuole" 0.789025684676499
69 0.519398953417567 3 502 "GO:0000323;GO:0005773;GO:0005764" "vacuole" 0.750140789360592
31 0.969735243799903 3 8 "GO:0000346" "transcription export complex" 0.988739784096647
-334 0.746634789055841 2 5 "GO:0000347;GO:0000445" "THO complex" 0.883190618162357
-328 0.495638788188671 2 23 "GO:0000407" "phagophore assembly site" 0.731054772334061
19 0.973137380507949 3 16 "GO:0000421" "autophagosome membrane" 0.988891783928377
-1524 0.0807653911137783 4 7 "GO:0000439" "transcription factor TFIIH core complex" 0.258745004651558
-274 0.406470714867206 3 49 "GO:0000502" "proteasome complex" 0.660759296585413
-1022 0.210558401807163 2 8 "GO:0000506" "glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex" 0.454205226167868
947 1.61559290775315e-05 2 112 "GO:0000775" "chromosome, centromeric region" 0.000274650794318035
843 0.00133299397556932 3 78 "GO:0000776" "kinetochore" 0.0139451677444175
1610 2.30209452628776e-05 4 37 "GO:0000779" "condensed chromosome, centromeric region" 0.000375701826690162
342 0.252541560585469 2 60 "GO:0000781" "chromosome, telomeric region" 0.505667999297221
839 2.32525045527411e-12 2 391 "GO:0000785;GO:0032993" "protein-DNA complex" 2.37175546437959e-10
1312 0.0491241691076285 3 12 "GO:0000786" "nucleosome" 0.192717894191466
283 0.475133340710476 2 34 "GO:0000791" "euchromatin" 0.716652136820237
1019 0.00150264315822088 4 52 "GO:0000792" "heterochromatin" 0.0151377384828178
1292 1.49967605713208e-10 2 133 "GO:0000793" "condensed chromosome" 1.11248696601798e-08
1100 5.04845030168793e-05 2 73 "GO:0000794" "condensed nuclear chromosome" 0.000710264732099543
942 0.0836323856891911 3 18 "GO:0000795;GO:0099086" "synaptonemal complex" 0.264511731482093
3240 7.20759787420896e-05 2 8 "GO:0000796" "condensin complex" 0.000964163912353199
1226 0.193460096767902 2 6 "GO:0000800" "lateral element" 0.443050682939707
969 0.0294067823703422 6 27 "GO:0000803" "sex chromosome" 0.129707753590266
479 0.472643286339288 2 12 "GO:0000805" "X chromosome" 0.716652136820237
1214 0.136885033137686 3 8 "GO:0000808;GO:0005664" "nuclear origin of replication recognition complex" 0.35793962837238
611 0.427526056422308 2 9 "GO:0000812" "Swr1 complex" 0.676920731376431
-217 0.803996300381214 2 7 "GO:0000813" "ESCRT I complex" 0.90654984219063
395 0.588670637132608 3 10 "GO:0000815" "ESCRT III complex" 0.789025684676499
85 0.934256649954197 4 5 "GO:0000835" "ER ubiquitin ligase complex" 0.973934012995715
283 0.239329362255601 2 93 "GO:0000922" "spindle pole" 0.489455537846041
-766 0.416224220179166 2 6 "GO:0000923" "equatorial microtubule organizing center" 0.672937836751108
-205 0.758239445717888 2 12 "GO:0000930" "gamma-tubulin complex" 0.890249478713376
-151 0.862809348872261 3 7 "GO:0000931" "gamma-tubulin ring complex" 0.933756536710564
604 0.0302681114819681 3 69 "GO:0000932" "P-body" 0.132079031921315
766 0.380340653266409 2 7 "GO:0000938;GO:1990745" "GARP complex" 0.637285365637351
2200 0.00059258051845493 2 13 "GO:0000940" "outer kinetochore" 0.0066239137405373
222 0.611076228048311 2 28 "GO:0000974" "Prp19 complex" 0.804255164657132
-336 0.62950875467081 2 11 "GO:0001520" "outer dense fiber" 0.818557869769971
471 0.0285291980273402 2 117 "GO:0001650" "fibrillar center" 0.127653065190185
-511 0.162420468956121 2 40 "GO:0001669" "acrosomal vesicle" 0.396811684635314
411 0.491127492990696 4 15 "GO:0001673" "male germ cell nucleus" 0.72865460778256
405 0.511482559279257 4 14 "GO:0001674;GO:0042585" "female germ cell nucleus" 0.743974631678919
710 0.0394919340616351 3 45 "GO:0001725;GO:0042641;GO:0097517;GO:0032432" "actomyosin" 0.1619367748457
423 0.0671969790793113 2 101 "GO:0001726" "ruffle" 0.234485404530157
1612 0.0361597563261692 2 9 "GO:0001741" "XY body" 0.152882700322042
-524 0.124275072418653 2 46 "GO:0001750" "photoreceptor outer segment" 0.338028196978736
890 0.200906118338161 2 11 "GO:0001772" "immunological synapse" 0.449089512074002
687 0.283297480304853 2 13 "GO:0001891" "phagocytic cup" 0.539472435627276
-1282 0.00238100745029359 2 30 "GO:0001917" "photoreceptor inner segment" 0.0212522162806002
11 0.9910330297672 4 6 "GO:0001931;GO:0031254" "cell trailing edge" 0.993468000356309
-340 0.6586518125741 2 9 "GO:0001939;GO:0001940" "male pronucleus" 0.836814374202243
-377 0.624302773124458 3 9 "GO:0002080" "acrosomal membrane" 0.815089700591292
-1592 0.122950917435213 2 5 "GO:0002081" "outer acrosomal membrane" 0.335544978686066
1375 0.0211474963460542 5 15 "GO:0002102" "podosome" 0.105221689136465
230 0.791975657839782 2 7 "GO:0002177" "manchette" 0.902795629608361
-1504 0.145113742627991 2 5 "GO:0002178" "palmitoyltransferase complex" 0.366603139270714
-218 0.00836653455182799 2 871 "GO:0005576" "extracellular region" 0.0546167375543331
-253 0.390018160032599 4 62 "GO:0005604;GO:0062023" "collagen-containing extracellular matrix" 0.649499629768573
