"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0528011673744234 3 12 "GO:0000109" "nucleotide-excision repair complex" 1
0 0.0243249086722 2 8 "GO:0000110;GO:0070522" "nucleotide-excision repair factor 1 complex" 0.904444331539073
0 1 2 39 "GO:0000118" "histone deacetylase complex" 1
0 0.746953673217736 4 84 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 1
0 1 5 14 "GO:0000124" "SAGA complex" 1
0 1 3 10 "GO:0000137" "Golgi cis cisterna" 1
0 1 3 17 "GO:0000138" "Golgi trans cisterna" 1
0 0.852168433462321 2 343 "GO:0000139" "Golgi membrane" 1
0 1 2 7 "GO:0000145" "exocyst" 1
0 0.35592327030738 2 273 "GO:0000151" "ubiquitin ligase complex" 1
0 1 2 28 "GO:0000152" "nuclear ubiquitin ligase complex" 1
0 1 2 11 "GO:0000153" "cytoplasmic ubiquitin ligase complex" 1
0 0.27358449991988 2 10 "GO:0000159" "protein phosphatase type 2A complex" 1
0 1 3 10 "GO:0000164" "protein phosphatase type 1 complex" 1
0 1 3 6 "GO:0000172" "ribonuclease MRP complex" 1
0 1 2 14 "GO:0000176" "nuclear exosome (RNase complex)" 1
0 1 5 13 "GO:0000177" "cytoplasmic exosome (RNase complex)" 1
0 1 4 22 "GO:0000178;GO:1905354" "exoribonuclease complex" 1
0 1 4 6 "GO:0000221;GO:0033180" "proton-transporting V-type ATPase, V1 domain" 1
0 0.0149145943434101 5 352 "GO:0000228;GO:0044454" "nuclear chromosome" 0.762508635806841
0 0.27358449991988 4 10 "GO:0000235" "astral microtubule" 1
0 1 2 13 "GO:0000242" "pericentriolar material" 1
0 0.2499771625377 2 9 "GO:0000243" "commitment complex" 1
0 1 4 6 "GO:0000275;GO:0045261" "mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)" 1
0 1 4 5 "GO:0000276;GO:0045263" "mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)" 1
0 0.489158858619561 3 21 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 1
0 0.844252453634095 6 58 "GO:0000313;GO:0005761" "organellar ribosome" 1
0 1 5 21 "GO:0000314;GO:0005763" "organellar small ribosomal subunit" 1
0 0.68417726150906 4 36 "GO:0000315;GO:0005762" "organellar large ribosomal subunit" 1
0 0.472533851059842 3 20 "GO:0000322;GO:0000324;GO:0000329" "storage vacuole" 1
0 0.873909669031097 2 502 "GO:0000323;GO:0005773;GO:0005764" "vacuole" 1
0 0.2499771625377 2 9 "GO:0000346" "transcription export complex" 1
0 0.174471426089331 3 6 "GO:0000347;GO:0000445" "THO complex part of transcription export complex" 1
0 1 2 23 "GO:0000407" "phagophore assembly site" 1
0 1 2 16 "GO:0000421" "autophagosome membrane" 1
0 1 2 7 "GO:0000439" "transcription factor TFIIH core complex" 1
0 0.791970504765433 3 49 "GO:0000502" "proteasome complex" 1
0 1 2 8 "GO:0000506" "glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex" 1
0 0.0106486841295351 3 116 "GO:0000775" "chromosome, centromeric region" 0.64126297022305
0 0.470989008101216 2 81 "GO:0000776" "kinetochore" 1
0 0.130092856084211 4 40 "GO:0000779" "condensed chromosome, centromeric region" 1
0 0.0447286449759943 3 62 "GO:0000781" "chromosome, telomeric region" 1
0 0.0706774794449121 2 394 "GO:0000785;GO:0032993" "protein-DNA complex" 1
0 0.318601671658669 2 12 "GO:0000786" "nucleosome" 1
0 0.301739929257144 3 35 "GO:0000791" "euchromatin" 1
0 0.240577494328307 4 54 "GO:0000792" "heterochromatin" 1
0 0.000333067110265644 2 136 "GO:0000793" "condensed chromosome" 0.0884369725489229
0 0.082759567738114 2 74 "GO:0000794" "condensed nuclear chromosome" 1
0 0.10835297645109 3 18 "GO:0000795;GO:0099086" "synaptonemal complex" 1
0 6.04669340732367e-05 2 8 "GO:0000796" "condensin complex" 0.0494619520719076
0 0.0135839726041093 2 6 "GO:0000800" "lateral element" 0.74077930601076
0 0.0515476792688256 6 27 "GO:0000803" "sex chromosome" 1
0 0.318601671658669 2 12 "GO:0000805" "X chromosome" 1
0 0.225605755155481 2 8 "GO:0000808;GO:0005664" "origin recognition complex" 1
0 1 3 9 "GO:0000812" "Swr1 complex" 1
0 0.200445649345071 2 7 "GO:0000813" "ESCRT I complex" 1
0 1 3 10 "GO:0000815" "ESCRT III complex" 1
0 1 2 5 "GO:0000835" "ER ubiquitin ligase complex" 1
0 0.578699962352046 2 95 "GO:0000922" "spindle pole" 1
0 1 3 6 "GO:0000923" "equatorial microtubule organizing center" 1
0 1 2 12 "GO:0000930" "gamma-tubulin complex" 1
0 1 2 7 "GO:0000931" "gamma-tubulin ring complex" 1
0 0.894174034449188 2 70 "GO:0000932" "P-body" 1
0 1 2 7 "GO:0000938;GO:1990745" "GARP complex" 1
0 0.0611374121883163 2 13 "GO:0000940" "outer kinetochore" 1
0 1 2 28 "GO:0000974" "Prp19 complex" 1
0 1 2 11 "GO:0001520" "outer dense fiber" 1
0 0.887539857275398 2 117 "GO:0001650" "fibrillar center" 1
0 1 3 40 "GO:0001669" "acrosomal vesicle" 1
0 0.380969814138939 4 15 "GO:0001673" "male germ cell nucleus" 1
0 1 7 15 "GO:0001674;GO:0042585" "female germ cell nucleus" 1
0 0.763436849733902 3 45 "GO:0001725;GO:0042641;GO:0097517;GO:0032432" "actomyosin" 1
0 0.831947878478573 4 101 "GO:0001726" "ruffle" 1
0 0.2499771625377 2 9 "GO:0001741" "XY body" 1
0 0.778160156362295 2 47 "GO:0001750" "photoreceptor outer segment" 1
0 1 2 11 "GO:0001772" "immunological synapse" 1
0 1 2 13 "GO:0001891" "phagocytic cup" 1
0 0.617150550111456 2 30 "GO:0001917" "photoreceptor inner segment" 1
0 1 4 6 "GO:0001931;GO:0031254" "cell trailing edge" 1
0 1 2 9 "GO:0001939;GO:0001940" "male pronucleus" 1
0 1 2 9 "GO:0002080" "acrosomal membrane" 1
0 1 2 5 "GO:0002081" "outer acrosomal membrane" 1
0 1 2 15 "GO:0002102" "podosome" 1
0 1 2 7 "GO:0002177" "manchette" 1
0 1 2 5 "GO:0002178" "palmitoyltransferase complex" 1
0 0.0790282123990548 2 875 "GO:0005576" "extracellular region" 1
0 0.59407258055968 4 63 "GO:0005604;GO:0062023" "collagen-containing extracellular matrix" 1
0 0.621121616296345 2 568 "GO:0005615;GO:0044421" "obsolete extracellular region part" 1
0 0.203035524305407 2 3817 "GO:0005634" "nucleus" 1
0 0.142606492714406 3 297 "GO:0005635" "nuclear envelope" 1
0 1 5 17 "GO:0005637" "nuclear inner membrane" 1
0 1 -1 7 "GO:0005639;GO:0031229;GO:0044453" "obsolete nuclear membrane part" 1
0 1 2 9 "GO:0005640" "nuclear outer membrane" 1
0 0.00864469909241922 4 14 "GO:0005641" "nuclear envelope lumen" 0.630325365293816
0 0.539407535848784 3 57 "GO:0005643" "nuclear pore" 1
0 1 2 15 "GO:0005652" "nuclear lamina" 1
0 0.281957936077677 2 2211 "GO:0005654" "nucleoplasm" 1
0 1 2 9 "GO:0005655;GO:0030681;GO:0030677" "multimeric ribonuclease P complex" 1
0 0.0865197347727055 2 75 "GO:0005657" "replication fork" 1
0 1 2 6 "GO:0005658" "alpha DNA polymerase:primase complex" 1
0 1 2 10 "GO:0005663" "DNA replication factor C complex" 1
0 0.380969814138939 2 15 "GO:0005665" "RNA polymerase II, core complex" 1
0 1 2 22 "GO:0005666" "RNA polymerase III complex" 1
0 0.0109751608595632 2 270 "GO:0005667" "transcription regulator complex" 0.64126297022305
0 0.130092856084211 2 40 "GO:0005669" "transcription factor TFIID complex" 1
0 0.380969814138939 -1 15 "GO:0005671" "obsolete Ada2/Gcn5/Ada3 transcription activator complex" 1
0 1 2 6 "GO:0005677" "chromatin silencing complex" 1
0 1 3 18 "GO:0005680" "anaphase-promoting complex" 1
0 0.971022563291871 2 168 "GO:0005681" "spliceosomal complex" 1
0 1 3 21 "GO:0005682" "U5 snRNP" 1
0 1 4 10 "GO:0005683;GO:0005687" "U4 snRNP" 1
0 0.734843176225397 4 82 "GO:0005684" "U2-type spliceosomal complex" 1
0 0.455370000811372 3 19 "GO:0005685" "U1 snRNP" 1
