"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
1444 0.0158152727561622 3 11 "GO:0000014" "single-stranded DNA endodeoxyribonuclease activity" 0.130678020145807
-29 0.946232504355832 3 21 "GO:0000030" "mannosyltransferase activity" 0.972874836449411
-284 0.749421137948948 6 5 "GO:0000033" "alpha-1,3-mannosyltransferase activity" 0.883709000371818
714 0.0311212378157298 4 36 "GO:0000049" "tRNA binding" 0.185177670896337
-777 0.143111080245721 4 14 "GO:0000062;GO:0120227" "acyl-CoA binding" 0.400994412965733
-1819 0.00150460371399589 2 12 "GO:0000099;GO:0015184" "sulfur amino acid transmembrane transporter activity" 0.024275689969533
522 0.24023452480349 2 20 "GO:0000146" "microfilament motor activity" 0.503914138036475
19 0.931782794303049 2 84 "GO:0000149" "SNARE binding" 0.966970637708183
551 0.462559731821604 2 7 "GO:0000150" "DNA strand exchange activity" 0.6907884121663
-62 0.483993630546687 3 535 "GO:0000166;GO:1901265;GO:0017076" "nucleoside phosphate binding" 0.707022550309692
612 0.0729142652850389 6 34 "GO:0000175;GO:0016896;GO:0004532" "RNA exonuclease activity" 0.293259121408703
-707 0.313353804489255 2 8 "GO:0000182" "rDNA binding" 0.560848568461713
1010 0.00538395700730731 2 30 "GO:0000217" "DNA secondary structure binding" 0.063485826377832
-924 0.297879606914391 4 5 "GO:0000268" "peroxisome targeting sequence binding" 0.548292219556245
83 0.638596424798876 2 127 "GO:0000287" "magnesium ion binding" 0.820534793271655
-1757 0.0301184058901167 2 6 "GO:0000295" "adenine nucleotide transmembrane transporter activity" 0.183301265954904
-229 0.634919466756186 3 17 "GO:0000339;GO:0000340" "RNA cap binding" 0.819423295808649
1482 0.00709768363336929 5 13 "GO:0000400" "four-way junction DNA binding" 0.0757979044620192
1184 0.11453173397791 2 7 "GO:0000403" "Y-form DNA binding" 0.358148958185067
1742 0.0315718113807359 6 6 "GO:0000404;GO:0032135" "DNA insertion or deletion binding" 0.185177670896337
2392 0.00314792451799375 5 6 "GO:0000405" "bubble DNA binding" 0.0419229476984579
-1613 0.0691570302227489 3 5 "GO:0000774" "adenyl-nucleotide exchange factor activity" 0.283644051493303
-523 0.382662853165412 2 11 "GO:0000900" "mRNA regulatory element binding translation repressor activity" 0.639432242974889
442 2.17968296743402e-05 2 385 "GO:0000976;GO:0001067;GO:1990837;GO:0000977" "transcription regulatory region nucleic acid binding" 0.000704971748324374
443 0.00203209317538374 2 196 "GO:0000978;GO:0000987" "cis-regulatory region sequence-specific DNA binding" 0.0298744087601869
1097 0.0324428435024783 4 15 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 0.185711320462754
343 0.000243992658991219 3 483 "GO:0000981;GO:0003700" "DNA-binding transcription factor activity" 0.00563672836689918
578 0.0514282042274319 -1 45 "GO:0000988;GO:0000989;GO:0001076" "obsolete transcription factor activity, protein binding" 0.240270491674651
1400 0.0840164114866969 2 6 "GO:0000992;GO:0001006" "RNA polymerase III cis-regulatory region sequence-specific DNA binding" 0.311799784210271
