"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
1624 0.00856181872591767 4 11 "GO:0000014" "single-stranded DNA endodeoxyribonuclease activity" 0.101329565952098
45 0.916402891003463 2 23 "GO:0000030" "mannosyltransferase activity" 0.971403987878094
83 0.914397977148599 2 7 "GO:0000033" "alpha-1,3-mannosyltransferase activity" 0.970716968717038
546 0.110631881563497 2 36 "GO:0000049" "tRNA binding" 0.380437815558825
-670 0.221595142253358 2 14 "GO:0000062;GO:0120227" "acyl-CoA binding" 0.528089660437032
-1971 0.000861241043542569 2 12 "GO:0000099;GO:0015184" "sulfur amino acid transmembrane transporter activity" 0.0200874669148668
207 0.651059659913814 2 20 "GO:0000146" "microfilament motor activity" 0.856546643003972
-33 0.88175990342954 2 84 "GO:0000149" "SNARE binding" 0.953217042793247
-385 0.595273578722538 2 8 "GO:0000150" "DNA strand exchange activity" 0.834400571884583
-182 0.0459256726929919 2 544 "GO:0000166;GO:1901265;GO:0017076" "nucleoside phosphate binding" 0.258713557361334
-95 0.783365612592312 2 35 "GO:0000175;GO:0016896;GO:0004532" "RNA exonuclease activity" 0.917424668615896
-983 0.174861167706469 2 8 "GO:0000182" "rDNA binding" 0.484202070418832
590 0.109354058233106 3 31 "GO:0000217" "DNA secondary structure binding" 0.380437815558825
-855 0.350588109071169 2 5 "GO:0000268" "peroxisome targeting sequence binding" 0.652309804236146
-113 0.534428049570743 3 129 "GO:0000287" "magnesium ion binding" 0.793691333644519
-1389 0.0967193630400163 6 6 "GO:0000295" "adenine nucleotide transmembrane transporter activity" 0.366448279768775
-601 0.226975225486368 2 17 "GO:0000339;GO:0000340" "RNA cap binding" 0.535046322091069
598 0.2747071014762 2 14 "GO:0000400" "four-way junction DNA binding" 0.579012175805563
1327 0.0866349944945362 2 7 "GO:0000403" "Y-form DNA binding" 0.355203477427598
1930 0.0210277781148379 2 6 "GO:0000404;GO:0032135" "DNA insertion or deletion binding" 0.182050885024357
2207 0.0083047989085933 2 6 "GO:0000405" "bubble DNA binding" 0.099468849345339
-561 0.540228984866199 5 5 "GO:0000702" "oxidized base lesion DNA N-glycosylase activity" 0.794756248771383
1266 0.166892985494683 2 5 "GO:0000774" "adenyl-nucleotide exchange factor activity" 0.47295878544528
-776 0.209079426594399 2 11 "GO:0000900" "mRNA regulatory element binding translation repressor activity" 0.508523690106716
315 0.00266713126392404 3 404 "GO:0000976;GO:0001067;GO:1990837;GO:0000977" "transcription regulatory region nucleic acid binding" 0.0456995028505194
246 0.0888673538193142 2 207 "GO:0000978;GO:0000987" "cis-regulatory region sequence-specific DNA binding" 0.359224373889341
1090 0.0333628389611139 2 16 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 0.223708294341871
282 0.00282414945206738 2 507 "GO:0000981;GO:0003700" "DNA-binding transcription factor activity" 0.0469872981300486
392 0.186227085885666 -1 48 "GO:0000988;GO:0000989;GO:0001076" "obsolete transcription factor activity, protein binding" 0.495206609135546
1508 0.0712942289919244 3 6 "GO:0000992;GO:0001006" "RNA polymerase III type 3 promoter sequence-specific DNA binding" 0.327383099530917
722 0.0784673108835748 3 25 "GO:0000993;GO:0043175" "RNA polymerase core enzyme binding" 0.343372533551641
520 0.446784755542014 2 9 "GO:0001016" "RNA polymerase III transcription regulatory region sequence-specific DNA binding" 0.741197831448312
534 0.176290491075681 2 27 "GO:0001046" "core promoter sequence-specific DNA binding" 0.484202070418832
975 0.0382533721823577 3 19 "GO:0001091" "RNA polymerase II general transcription initiation factor binding" 0.235229031289507
835 0.127410580248202 2 14 "GO:0001094" "TFIID-class transcription factor complex binding" 0.410977786702818
933 0.00407105421307652 3 40 "GO:0001099;GO:0001098" "basal transcription machinery binding" 0.0597284062953812
-274 0.723154322774797 -1 7 "GO:0001129;GO:0001132" "obsolete RNA polymerase II transcription factor activity, TBP-class protein binding, involved in preinitiation complex assembly" 0.89051548521765
1198 0.152153134645208 -1 6 "GO:0001134" "obsolete transcription regulator recruiting activity" 0.451523816065042
273 0.658712678824793 4 11 "GO:0001161;GO:0001162" "intronic transcription regulatory region sequence-specific DNA binding" 0.860387644778461
34 0.970368847528592 4 5 "GO:0001163" "RNA polymerase I transcription regulatory region sequence-specific DNA binding" 0.989490839865553
2428 0.00369685405917836 -1 6 "GO:0001190" "obsolete transcriptional activator activity, RNA polymerase II transcription factor binding" 0.0551167332459319
-1632 0.00826593344106758 -1 11 "GO:0001191" "obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding" 0.099468849345339
203 0.607113617630077 2 27 "GO:0001221" "transcription coregulator binding" 0.839718594023287
-427 0.510413076193277 2 10 "GO:0001222" "transcription corepressor binding" 0.775313591912841
551 0.298229437856383 3 15 "GO:0001223" "transcription coactivator binding" 0.603276571351082
585 0.00591681980874675 2 94 "GO:0001227;GO:0001217" "DNA-binding transcription repressor activity, RNA polymerase II-specific" 0.0799118722404855
204 0.175982754889135 2 189 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity, RNA polymerase II-specific" 0.484202070418832
-908 0.277801579345993 5 6 "GO:0001517" "N-acetylglucosamine 6-O-sulfotransferase activity" 0.579970420165169
1064 0.0851565386797839 2 11 "GO:0001530" "lipopolysaccharide binding" 0.353726371774998
1477 0.0226446877192112 4 10 "GO:0001537" "N-acetylgalactosamine 4-O-sulfotransferase activity" 0.188377547113438
75 0.833546538650506 2 33 "GO:0001540" "amyloid-beta binding" 0.942851201589489
919 0.204757710799272 5 8 "GO:0001609" "G protein-coupled adenosine receptor activity" 0.505788440552546
-364 0.690868064884667 3 5 "GO:0001618;GO:0140272;GO:0104005" "exogenous protein binding" 0.871556635700657
1166 0.132112428738679 2 7 "GO:0001640;GO:0098988;GO:0008066" "glutamate receptor activity" 0.417810105212131
1622 0.0765285201595313 4 5 "GO:0001642" "group III metabotropic glutamate receptor activity" 0.340522252492798
554 0.0298432600870877 3 65 "GO:0001653;GO:0008528" "peptide receptor activity" 0.212570904443554
-641 0.0012982160966953 3 107 "GO:0001664" "G protein-coupled receptor binding" 0.0256261067920324
-484 0.257900728916947 2 23 "GO:0001671" "ATPase activator activity" 0.567183978537653
16 0.946699969061213 2 72 "GO:0001727" "lipid kinase activity" 0.98355782583437
-933 0.0370355831898618 2 21 "GO:0001784" "phosphotyrosine residue binding" 0.23360906319759
-130 0.745924536867372 3 26 "GO:0001786" "phosphatidylserine binding" 0.903292582619982
-213 0.79915813205536 3 6 "GO:0001846;GO:0001848" "opsonin binding" 0.922471808314337
2525 0.00110952985739501 2 7 "GO:0001871;GO:0030247" "polysaccharide binding" 0.023158914114354
-140 0.411228451653261 2 147 "GO:0001882;GO:0001883;GO:0005525;GO:0032561;GO:0019001;GO:0032549;GO:0032550" "guanyl nucleotide binding" 0.711565693323995
-728 0.183831444490817 3 14 "GO:0001965" "G-protein alpha-subunit binding" 0.494246265328172
-450 0.39568144514115 3 15 "GO:0001968" "fibronectin binding" 0.696690642671841
-567 0.0219549692776392 4 69 "GO:0002020" "protease binding" 0.185325770078896
764 0.00790894765271785 3 51 "GO:0002039" "p53 binding" 0.0986899120143488
-170 0.838690023637432 3 6 "GO:0002161" "aminoacyl-tRNA editing activity" 0.942851201589489
606 2.61456784431851e-22 3 1322 "GO:0003676" "nucleic acid binding" 3.00152388527765e-19
625 8.88551033606372e-16 2 780 "GO:0003677" "DNA binding" 5.10028293290058e-13
1228 2.39158261158261e-05 2 50 "GO:0003678" "DNA helicase activity" 0.000915178946032279
-527 0.440098449855958 2 9 "GO:0003680" "minor groove of adenine-thymine-rich DNA binding" 0.73864476671731
612 5.65135476596189e-08 3 347 "GO:0003682" "chromatin binding" 4.63411090808875e-06
1457 2.5194861832371e-06 2 44 "GO:0003684" "damaged DNA binding" 0.000131471369925281
671 0.238102694298555 3 13 "GO:0003688" "DNA replication origin binding" 0.543285338523102
527 2.00275504718603e-08 2 512 "GO:0003690;GO:0043565" "double-stranded DNA binding" 2.29916279416956e-06
1336 0.110146304054612 4 6 "GO:0003696" "satellite DNA binding" 0.380437815558825
1344 1.08739021140028e-10 5 98 "GO:0003697" "single-stranded DNA binding" 1.78331994669646e-08
702 0.364483109358204 2 7 "GO:0003707" "nuclear steroid receptor activity" 0.66734706466223
215 0.083113910856918 2 285 "GO:0003712" "transcription coregulator activity" 0.353388035791636
49 0.756943640344255 3 169 "GO:0003713" "transcription coactivator activity" 0.908015986536264
470 0.0206583182143942 2 103 "GO:0003714" "transcription corepressor activity" 0.18167894396327
421 6.91468282131992e-07 2 641 "GO:0003723" "RNA binding" 4.17792414677646e-05
1088 1.32550062088866e-07 2 100 "GO:0003724;GO:0008186" "ATP-dependent activity, acting on RNA" 1.01444980852012e-05
200 0.504281229833445 2 47 "GO:0003725" "double-stranded RNA binding" 0.772065578807302
248 0.306215910255256 2 72 "GO:0003727" "single-stranded RNA binding" 0.606304661333101
227 0.1211428733918 2 201 "GO:0003729" "mRNA binding" 0.397348624725104
142 0.627426287167143 3 49 "GO:0003730" "mRNA 3'-UTR binding" 0.848392670986902
552 0.00241403293876207 2 129 "GO:0003735" "structural constituent of ribosome" 0.0419895426318009
-180 0.58350546880454 2 39 "GO:0003743" "translation initiation factor activity" 0.82292908868257
445 0.400049868188706 2 15 "GO:0003746" "translation elongation factor activity" 0.69902168748955
273 0.418885059962901 2 37 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 0.714207593545489
-46 0.92601120913731 4 17 "GO:0003756;GO:0016864" "intramolecular oxidoreductase activity, transposing S-S bonds" 0.9765195539446
-3 0.988584335863982 1 73 "GO:0003774" "cytoskeletal motor activity" 0.993594855072198
-36 0.902813236491992 2 49 "GO:0003777" "microtubule motor activity" 0.965917609965337
291 0.073473749323508 4 162 "GO:0003779" "actin binding" 0.333390767681372
101 0.864810881026249 2 12 "GO:0003785" "actin monomer binding" 0.94941411013693
-1063 0.245944459625489 2 5 "GO:0003810" "protein-glutamine gamma-glutamyltransferase activity" 0.552532758610688
576 0.1879925351614 2 22 "GO:0003823" "antigen binding" 0.497896976590474
-183 0.66818804287075 7 23 "GO:0003841;GO:0016411;GO:0042171;GO:0071617" "lysophosphatidic acid acyltransferase activity" 0.864802562813552
-944 0.259000019376196 4 6 "GO:0003857" "3-hydroxyacyl-CoA dehydrogenase activity" 0.568099070737947
875 0.0239529890503414 4 28 "GO:0003887;GO:0034061" "DNA polymerase activity" 0.193648108660507
646 0.255864940240282 2 13 "GO:0003906" "DNA-(apurinic or apyrimidinic site) endonuclease activity" 0.564871060376623
1907 0.022610232793652 2 6 "GO:0003909;GO:0003910" "DNA ligase activity" 0.188377547113438
1511 0.0990479409868123 3 5 "GO:0003916" "DNA topoisomerase activity" 0.367128289621231
-213 0.205005266737041 4 151 "GO:0003924" "GTPase activity" 0.505788440552546
-1638 0.0027845270935373 2 14 "GO:0003943" "N-acetylgalactosamine-4-sulfatase activity" 0.0469872981300486
728 0.238800363037833 2 11 "GO:0003950" "NAD+ ADP-ribosyltransferase activity" 0.543285338523102
-353 0.296263326314696 2 37 "GO:0003954;GO:0008137;GO:0016655;GO:0050136" "oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor" 0.601091576114719
1900 0.0141184305445563 2 7 "GO:0003972;GO:0008452" "RNA ligase (ATP) activity" 0.144813865115941
-2231 0.0148824391753673 6 5 "GO:0003988" "acetyl-CoA C-acyltransferase activity" 0.144846012827035
-800 0.301429736828233 2 7 "GO:0003993" "acid phosphatase activity" 0.603276571351082
-442 0.373794538604744 5 17 "GO:0003995;GO:0052890" "acyl-CoA dehydrogenase activity" 0.673651695947011
-264 0.73314258365726 2 7 "GO:0004000" "adenosine deaminase activity" 0.891575938600143
-437 0.546221846934339 4 8 "GO:0004017" "adenylate kinase activity" 0.794756248771383
1595 0.0815999993846836 5 5 "GO:0004021;GO:0047635" "L-alanine:2-oxoglutarate aminotransferase activity" 0.348240889567349
