"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-494 0.427003203402037 2 11 "GO:0000014" "single-stranded DNA endodeoxyribonuclease activity" 0.728566296605849
-213 0.620191473937411 2 23 "GO:0000030" "mannosyltransferase activity" 0.848062063053535
-763 0.3274217866959 2 7 "GO:0000033" "alpha-1,3-mannosyltransferase activity" 0.653706692187995
256 0.451883874656636 3 37 "GO:0000049" "tRNA binding" 0.742531311601587
-314 0.569185478452798 5 14 "GO:0000062;GO:0120227" "acyl-CoA binding" 0.823408826931764
-104 0.861284736946032 2 12 "GO:0000099;GO:0015184" "sulfur amino acid transmembrane transporter activity" 0.950044392209514
-1938 0.0213464226582578 3 6 "GO:0000104;GO:0008177;GO:0016635" "oxidoreductase activity, acting on the CH-CH group of donors, quinone or related compound as acceptor" 0.160446967692787
707 0.125662842369753 2 20 "GO:0000146" "microfilament motor activity" 0.428819788502124
72 0.747359765518848 2 86 "GO:0000149" "SNARE binding" 0.900409197760109
816 0.263353818097956 2 8 "GO:0000150" "DNA strand exchange activity" 0.589215740880641
244 0.00773173171254028 2 548 "GO:0000166;GO:1901265;GO:0017076" "nucleoside phosphate binding" 0.0907295047900135
877 0.011997041946641 2 35 "GO:0000175;GO:0016896;GO:0004532" "RNA exonuclease activity" 0.118936191712389
619 0.396059683700255 2 8 "GO:0000182" "rDNA binding" 0.706152924426811
618 0.0955835751741936 2 31 "GO:0000217" "DNA secondary structure binding" 0.36776423904307
-154 0.867857610285157 2 5 "GO:0000268" "peroxisome targeting sequence binding" 0.951416827290687
416 0.0231613999726869 3 129 "GO:0000287" "magnesium ion binding" 0.165786621629079
-825 0.327266293515515 5 6 "GO:0000295" "adenine nucleotide transmembrane transporter activity" 0.653706692187995
516 0.302662162797652 2 17 "GO:0000339;GO:0000340" "RNA cap binding" 0.629405944335081
1484 0.00712077133844613 6 14 "GO:0000400" "four-way junction DNA binding" 0.0880525488087425
-248 0.750716889234007 3 7 "GO:0000403" "Y-form DNA binding" 0.900409197760109
-529 0.529946255791722 3 6 "GO:0000404;GO:0032135" "DNA insertion or deletion binding" 0.801892360737474
456 0.588306869449353 4 6 "GO:0000405" "bubble DNA binding" 0.831146068632378
