"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0485922330127687 2 11 "GO:0000014" "single-stranded DNA endodeoxyribonuclease activity" 1
0 1 2 7 "GO:0000033" "alpha-1,3-mannosyltransferase activity" 1
0 1 5 37 "GO:0000049" "tRNA binding" 1
0 0.373752942742818 7 14 "GO:0000062;GO:0120227" "acyl-CoA binding" 1
0 0.71033581688482 5 37 "GO:0000146;GO:0032027;GO:0045159" "myosin II binding" 1
0 1 3 86 "GO:0000149;GO:0019905" "SNARE binding" 1
0 1 3 8 "GO:0000150" "DNA strand exchange activity" 1
0 0.657399908345384 2 32 "GO:0000175" "3'-5'-RNA exonuclease activity" 1
0 1 2 8 "GO:0000182" "rDNA binding" 1
0 0.987095599100458 4 129 "GO:0000287" "magnesium ion binding" 1
0 1 3 13 "GO:0000340" "RNA 7-methylguanosine cap binding" 1
0 0.373752942742818 6 14 "GO:0000400" "four-way junction DNA binding" 1
0 0.208544656675906 2 7 "GO:0000403" "Y-form DNA binding" 1
0 1 5 5 "GO:0000404" "heteroduplex DNA loop binding" 1
0 0.18164171896071 2 6 "GO:0000405" "bubble DNA binding" 1
0 1 3 5 "GO:0000774" "adenyl-nucleotide exchange factor activity" 1
0 1 2 11 "GO:0000900" "mRNA regulatory element binding translation repressor activity" 1
0 0.0131588404968005 2 198 "GO:0000978" "RNA polymerase II cis-regulatory region sequence-specific DNA binding" 1
0 0.414301171326446 2 16 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 1
0 0.208317970789674 -1 48 "GO:0000988;GO:0000989;GO:0001076" "obsolete transcription factor activity, protein binding" 1
0 1 2 22 "GO:0000993" "RNA polymerase II complex binding" 1
0 1 3 6 "GO:0001006" "RNA polymerase III type 3 promoter sequence-specific DNA binding" 1
0 0.0754120699722283 3 14 "GO:0001094" "TFIID-class transcription factor complex binding" 1
0 1 -1 7 "GO:0001129;GO:0001132" "obsolete RNA polymerase II transcription factor activity, TBP-class protein binding, involved in preinitiation complex assembly" 1
0 1 -1 6 "GO:0001134" "obsolete transcription regulator recruiting activity" 1
0 1 5 9 "GO:0001162" "RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding" 1
0 1 -1 6 "GO:0001190" "obsolete transcriptional activator activity, RNA polymerase II transcription factor binding" 1
0 0.0485922330127687 -1 11 "GO:0001191" "obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding" 1
0 0.284083953685269 2 10 "GO:0001222" "transcription corepressor binding" 1
0 1 5 15 "GO:0001223" "transcription coactivator binding" 1
0 0.00104694331492404 3 95 "GO:0001227;GO:0001217" "DNA-binding transcription repressor activity" 0.193422777432216
0 0.000452488019220335 4 189 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity, RNA polymerase II-specific" 0.167194323101914
0 1 2 6 "GO:0001517" "N-acetylglucosamine 6-O-sulfotransferase activity" 1
0 1 2 11 "GO:0001530" "lipopolysaccharide binding" 1
0 0.284083953685269 2 10 "GO:0001537" "N-acetylgalactosamine 4-O-sulfotransferase activity" 1
0 0.295599543975771 2 33 "GO:0001540" "amyloid-beta binding" 1
0 1 2 8 "GO:0001609" "G protein-coupled adenosine receptor activity" 1
0 1 3 5 "GO:0001618;GO:0140272;GO:0104005" "exogenous protein binding" 1
0 1 2 5 "GO:0001642" "group III metabotropic glutamate receptor activity" 1
0 0.551976041302375 2 24 "GO:0001671" "ATPase activator activity" 1
0 1 3 21 "GO:0001784" "phosphotyrosine residue binding" 1
0 1 3 28 "GO:0001786" "phosphatidylserine binding" 1
0 1 -1 7 "GO:0001871;GO:0030247" "polysaccharide binding" 1
0 1 3 14 "GO:0001965" "G-protein alpha-subunit binding" 1
0 1 3 15 "GO:0001968" "fibronectin binding" 1
0 1 3 17 "GO:0001972" "retinoic acid binding" 1
0 0.667775034904081 2 69 "GO:0002020" "protease binding" 1
0 0.234389363243752 3 51 "GO:0002039" "p53 binding" 1
0 1 6 9 "GO:0003680" "minor groove of adenine-thymine-rich DNA binding" 1
0 0.00525359758558105 3 350 "GO:0003682" "chromatin binding" 0.647068102624066
0 0.174717515949686 3 44 "GO:0003684" "damaged DNA binding" 1
0 1 2 13 "GO:0003688" "DNA replication origin binding" 1
0 1 7 6 "GO:0003696" "satellite DNA binding" 1
0 0.00470860490324133 5 98 "GO:0003697" "single-stranded DNA binding" 0.647068102624066
0 1 2 10 "GO:0003707;GO:0004879;GO:0098531" "ligand-activated transcription factor activity" 1
0 0.924557914515604 3 171 "GO:0003713" "transcription coactivator activity" 1
0 0.0567908900059852 3 105 "GO:0003714" "transcription corepressor activity" 1
0 0.734703076790064 3 115 "GO:0003724;GO:0070035" "obsolete purine NTP-dependent helicase activity" 1
0 0.793012608942783 2 47 "GO:0003725" "double-stranded RNA binding" 1
0 0.528991695257096 2 208 "GO:0003729" "mRNA binding" 1
0 0.806479412016591 3 49 "GO:0003730" "mRNA 3'-UTR binding" 1
0 0.987095599100458 2 129 "GO:0003735" "structural constituent of ribosome" 1
0 1 2 41 "GO:0003743" "translation initiation factor activity" 1
0 1 2 15 "GO:0003746" "translation elongation factor activity" 1
0 1 3 4 "GO:0003747" "translation release factor activity" 1
0 0.679640934870131 2 34 "GO:0003755" "peptidyl-prolyl cis-trans isomerase activity" 1
0 1 3 17 "GO:0003756" "protein disulfide isomerase activity" 1
0 1 5 12 "GO:0003785" "actin monomer binding" 1
0 1 2 5 "GO:0003810" "protein-glutamine gamma-glutamyltransferase activity" 1
0 1 2 17 "GO:0003841" "1-acylglycerol-3-phosphate O-acyltransferase activity" 1
0 0.0406198570525019 2 10 "GO:0003857;GO:0003988;GO:0016453" "3-hydroxyacyl-CoA dehydrogenase activity" 1
0 1 3 45 "GO:0003880;GO:0030548;GO:0099122;GO:0032028;GO:0070854;GO:0017040;GO:0019966;GO:0000064;GO:0005287;GO:0061459;GO:0015189;GO:0048019;GO:0005149;GO:0019120;GO:0070513;GO:0016972;GO:0004985;GO:0035515;GO:0031821" "high-affinity basic amino acid transmembrane transporter activity" 1
0 0.209664639960831 4 26 "GO:0003887" "DNA-directed DNA polymerase activity" 1
