"","X","gene_id","GOs","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term.x","ontology","bh_adjust","A","B","C","D","E","F","G","H","L","M","N","term.y","GOSlim_bin","aspect","log_over_represented_pvalue"
"1",579,"Pocillopora_acuta_HIv2___RNAseq.g8481.t1","GO:0045892",0.0372747579594785,0.975632069604224,35,747,"negative regulation of DNA-templated transcription","BP",1,0,0,338,157,64,85,55,0,0,79,0,"negative regulation of transcription, DNA-dependent","RNA metabolism","P",1.42858516792069
"2",488,"Pocillopora_acuta_HIv2___RNAseq.22237_t","GO:0006355",0.0344505774365539,0.974687696073815,70,1622,"regulation of DNA-templated transcription","BP",1,0,0,170,60,17,50,17,4,0,22,0,"regulation of transcription, DNA-dependent","RNA metabolism","P",1.46280349435411
"3",567,"Pocillopora_acuta_HIv2___RNAseq.g8481.t1","GO:0006355",0.0344505774365539,0.974687696073815,70,1622,"regulation of DNA-templated transcription","BP",1,0,0,338,157,64,85,55,0,0,79,0,"regulation of transcription, DNA-dependent","RNA metabolism","P",1.46280349435411
"4",581,"Pocillopora_acuta_HIv2___RNAseq.g8481.t1","GO:0051253",0.0153893749846469,0.990292542218384,40,821,"negative regulation of RNA metabolic process","BP",1,0,0,338,157,64,85,55,0,0,79,0,"negative regulation of RNA metabolic process","RNA metabolism","P",1.81277901800029
"5",502,"Pocillopora_acuta_HIv2___RNAseq.22237_t","GO:0051254",0.0151268192096519,0.990167354963375,46,954,"positive regulation of RNA metabolic process","BP",1,0,0,170,60,17,50,17,4,0,22,0,"positive regulation of RNA metabolic process","RNA metabolism","P",1.82025238360424
"6",498,"Pocillopora_acuta_HIv2___RNAseq.22237_t","GO:0045893",0.0136966899660744,0.991331306530152,42,850,"positive regulation of DNA-templated transcription","BP",1,0,0,170,60,17,50,17,4,0,22,0,"positive regulation of transcription, DNA-dependent","RNA metabolism","P",1.86338437467982
"7",551,"Pocillopora_acuta_HIv2___RNAseq.g8481.t1","GO:0000122",0.00949709179393305,0.994643725202654,30,562,"negative regulation of transcription by RNA polymerase II","BP",1,0,0,338,157,64,85,55,0,0,79,0,"negative regulation of transcription from RNA polymerase II promoter","RNA metabolism","P",2.02240936431205
"8",500,"Pocillopora_acuta_HIv2___RNAseq.22237_t","GO:0045944",0.00376890119881292,0.997895288651029,36,651,"positive regulation of transcription by RNA polymerase II","BP",0.98901841069109,0,0,170,60,17,50,17,4,0,22,0,"positive regulation of transcription from RNA polymerase II promoter","RNA metabolism","P",2.42378524736673
"9",544,"Pocillopora_acuta_HIv2___RNAseq.g24121.t1","GO:0031630",0.0454874430350398,0.995857231930372,2,9,"regulation of synaptic vesicle fusion to presynaptic active zone membrane","BP",1,23,21,5063,3031,96,1126,250,18,11,602,19,"regulation of synaptic vesicle fusion to presynaptic membrane","cell organization and biogenesis","P",1.34210847528223
"10",545,"Pocillopora_acuta_HIv2___RNAseq.g24121.t1","GO:0031631",0.0310074593039635,0.997850381209137,2,7,"negative regulation of synaptic vesicle fusion to presynaptic active zone membrane","BP",1,23,21,5063,3031,96,1126,250,18,11,602,19,"negative regulation of synaptic vesicle fusion to presynaptic membrane","cell organization and biogenesis","P",1.50853381762186
