"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","A","B","C","D","E","F","G","H","L","M","N","accessionnumber/geneID","definition","Ref"
"Pocillopora_acuta_HIv2___TS.g23498.t1",3028.62680087382,-3.39346780861972,0.925076130528087,-3.66831193307575,0.000244157191561243,0.0162004557041694,495,532,14940,7328,1417,3493,3270,750,608,2884,125,"Gene:g38128","Annotated: α-Collagen","Mummadisetti et al., 2021"
"Pocillopora_acuta_HIv2___TS.g23498.t1",3028.62680087382,-3.39346780861972,0.925076130528087,-3.66831193307575,0.000244157191561243,0.0162004557041694,495,532,14940,7328,1417,3493,3270,750,608,2884,125,"JT016638.1","Coadhesin","Ramos-Silva et al., 2013"
"Pocillopora_acuta_HIv2___TS.g23498.t1",3028.62680087382,-3.39346780861972,0.925076130528087,-3.66831193307575,0.000244157191561243,0.0162004557041694,495,532,14940,7328,1417,3493,3270,750,608,2884,125,"P18_g810","Stylophora pistillata clone g810 alpha collagen-like protein gene","Drake et al., 2013"
"Pocillopora_acuta_HIv2___RNAseq.g7668.t1",1646.53841191766,1.53799403564493,0.333624067409229,4.60996128842948,4.02743957745424e-06,0.000988173607348974,2367,1320,1251,1530,1123,1878,952,861,4701,1150,1077,"XP_022780303.1","LOW QUALITY PROTEIN: uncharacterized protein LOC111321626 [Stylophora pistillata]","Peled et al., 2020"
"Pocillopora_acuta_HIv2___RNAseq.g30830.t1",139.350889104693,-1.20911481978911,0.37416475968819,-3.23150373861163,0.0012314071303731,0.0431298362999168,110,200,249,109,197,111,202,211,101,149,18,"XP_022805470.1","uncharacterized protein LOC111342641 [Stylophora pistillata]","Peled et al., 2020"
